==========================================
Job ID: 3165409
Node: gput060
GPU: 0
Experiment: configs/experiment/deeplabv3_dataset83_raw_10k.yaml
Run Name: deeplabv3-raw-10k
Wall time: 7 days
==========================================
Mon Feb 23 14:24:49 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:D8:00.0 Off |                    0 |
| N/A   29C    P0             23W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/10000 | train_loss: 0.9194 | miou: 0.5103 | f1_macro: 0.6048 | pixel_accuracy: 0.8107 | img_miou: 0.4797 | img_f1_macro: 0.5629 | img_pixel_accuracy: 0.8107 | val_loss: 0.6510
Epoch 2/10000 | train_loss: 0.5159 | miou: 0.5894 | f1_macro: 0.6877 | pixel_accuracy: 0.8678 | img_miou: 0.5413 | img_f1_macro: 0.6220 | img_pixel_accuracy: 0.8678 | val_loss: 0.5001
Epoch 3/10000 | train_loss: 0.4141 | miou: 0.6434 | f1_macro: 0.7503 | pixel_accuracy: 0.8857 | img_miou: 0.5762 | img_f1_macro: 0.6614 | img_pixel_accuracy: 0.8857 | val_loss: 0.4235
Epoch 4/10000 | train_loss: 0.3464 | miou: 0.7054 | f1_macro: 0.8096 | pixel_accuracy: 0.9063 | img_miou: 0.6220 | img_f1_macro: 0.7060 | img_pixel_accuracy: 0.9063 | val_loss: 0.3659
Epoch 5/10000 | train_loss: 0.2903 | miou: 0.7145 | f1_macro: 0.8208 | pixel_accuracy: 0.9040 | img_miou: 0.6235 | img_f1_macro: 0.7079 | img_pixel_accuracy: 0.9040 | val_loss: 0.3762
Epoch 6/10000 | train_loss: 0.2603 | miou: 0.7139 | f1_macro: 0.8222 | pixel_accuracy: 0.8992 | img_miou: 0.6257 | img_f1_macro: 0.7175 | img_pixel_accuracy: 0.8992 | val_loss: 0.3683
Epoch 7/10000 | train_loss: 0.2396 | miou: 0.7408 | f1_macro: 0.8393 | pixel_accuracy: 0.9180 | img_miou: 0.6530 | img_f1_macro: 0.7374 | img_pixel_accuracy: 0.9180 | val_loss: 0.3180
Epoch 8/10000 | train_loss: 0.2174 | miou: 0.7024 | f1_macro: 0.8091 | pixel_accuracy: 0.9021 | img_miou: 0.6239 | img_f1_macro: 0.7078 | img_pixel_accuracy: 0.9021 | val_loss: 0.3612
Epoch 9/10000 | train_loss: 0.1949 | miou: 0.7028 | f1_macro: 0.8136 | pixel_accuracy: 0.8951 | img_miou: 0.6349 | img_f1_macro: 0.7244 | img_pixel_accuracy: 0.8951 | val_loss: 0.4018
Epoch 10/10000 | train_loss: 0.1727 | miou: 0.7259 | f1_macro: 0.8314 | pixel_accuracy: 0.9033 | img_miou: 0.6453 | img_f1_macro: 0.7297 | img_pixel_accuracy: 0.9033 | val_loss: 0.3639
Epoch 11/10000 | train_loss: 0.1555 | miou: 0.7333 | f1_macro: 0.8372 | pixel_accuracy: 0.9056 | img_miou: 0.6532 | img_f1_macro: 0.7401 | img_pixel_accuracy: 0.9056 | val_loss: 0.3501
Epoch 12/10000 | train_loss: 0.1449 | miou: 0.7179 | f1_macro: 0.8244 | pixel_accuracy: 0.9043 | img_miou: 0.6408 | img_f1_macro: 0.7245 | img_pixel_accuracy: 0.9043 | val_loss: 0.3685
Epoch 13/10000 | train_loss: 0.1456 | miou: 0.7266 | f1_macro: 0.8323 | pixel_accuracy: 0.9036 | img_miou: 0.6513 | img_f1_macro: 0.7403 | img_pixel_accuracy: 0.9036 | val_loss: 0.3724
Epoch 14/10000 | train_loss: 0.1324 | miou: 0.7404 | f1_macro: 0.8417 | pixel_accuracy: 0.9123 | img_miou: 0.6696 | img_f1_macro: 0.7542 | img_pixel_accuracy: 0.9123 | val_loss: 0.3233
Epoch 15/10000 | train_loss: 0.1290 | miou: 0.7328 | f1_macro: 0.8374 | pixel_accuracy: 0.9049 | img_miou: 0.6532 | img_f1_macro: 0.7357 | img_pixel_accuracy: 0.9049 | val_loss: 0.4083
Epoch 16/10000 | train_loss: 0.1383 | miou: 0.7184 | f1_macro: 0.8246 | pixel_accuracy: 0.9045 | img_miou: 0.6459 | img_f1_macro: 0.7310 | img_pixel_accuracy: 0.9045 | val_loss: 0.3556
Epoch 17/10000 | train_loss: 0.1362 | miou: 0.7359 | f1_macro: 0.8390 | pixel_accuracy: 0.9094 | img_miou: 0.6589 | img_f1_macro: 0.7468 | img_pixel_accuracy: 0.9094 | val_loss: 0.3312
Epoch 18/10000 | train_loss: 0.1237 | miou: 0.7467 | f1_macro: 0.8462 | pixel_accuracy: 0.9153 | img_miou: 0.6699 | img_f1_macro: 0.7542 | img_pixel_accuracy: 0.9153 | val_loss: 0.3176
Epoch 19/10000 | train_loss: 0.1109 | miou: 0.7435 | f1_macro: 0.8440 | pixel_accuracy: 0.9140 | img_miou: 0.6634 | img_f1_macro: 0.7461 | img_pixel_accuracy: 0.9140 | val_loss: 0.3402
Epoch 20/10000 | train_loss: 0.1046 | miou: 0.7466 | f1_macro: 0.8470 | pixel_accuracy: 0.9132 | img_miou: 0.6721 | img_f1_macro: 0.7583 | img_pixel_accuracy: 0.9132 | val_loss: 0.3535
Epoch 21/10000 | train_loss: 0.0980 | miou: 0.7378 | f1_macro: 0.8392 | pixel_accuracy: 0.9120 | img_miou: 0.6742 | img_f1_macro: 0.7598 | img_pixel_accuracy: 0.9120 | val_loss: 0.3454
Epoch 22/10000 | train_loss: 0.0948 | miou: 0.7501 | f1_macro: 0.8498 | pixel_accuracy: 0.9131 | img_miou: 0.6841 | img_f1_macro: 0.7731 | img_pixel_accuracy: 0.9131 | val_loss: 0.3601
Epoch 23/10000 | train_loss: 0.0917 | miou: 0.7537 | f1_macro: 0.8513 | pixel_accuracy: 0.9182 | img_miou: 0.6812 | img_f1_macro: 0.7620 | img_pixel_accuracy: 0.9182 | val_loss: 0.3177
Epoch 24/10000 | train_loss: 0.0903 | miou: 0.7441 | f1_macro: 0.8449 | pixel_accuracy: 0.9124 | img_miou: 0.6779 | img_f1_macro: 0.7661 | img_pixel_accuracy: 0.9124 | val_loss: 0.3621
Epoch 25/10000 | train_loss: 0.0874 | miou: 0.7436 | f1_macro: 0.8442 | pixel_accuracy: 0.9139 | img_miou: 0.6773 | img_f1_macro: 0.7611 | img_pixel_accuracy: 0.9139 | val_loss: 0.3428
Epoch 26/10000 | train_loss: 0.0870 | miou: 0.7477 | f1_macro: 0.8477 | pixel_accuracy: 0.9135 | img_miou: 0.6898 | img_f1_macro: 0.7807 | img_pixel_accuracy: 0.9135 | val_loss: 0.3640
Epoch 27/10000 | train_loss: 0.0837 | miou: 0.7556 | f1_macro: 0.8539 | pixel_accuracy: 0.9150 | img_miou: 0.6882 | img_f1_macro: 0.7718 | img_pixel_accuracy: 0.9150 | val_loss: 0.3805
Epoch 28/10000 | train_loss: 0.0804 | miou: 0.7572 | f1_macro: 0.8541 | pixel_accuracy: 0.9186 | img_miou: 0.6909 | img_f1_macro: 0.7784 | img_pixel_accuracy: 0.9186 | val_loss: 0.3263
Epoch 29/10000 | train_loss: 0.0776 | miou: 0.7570 | f1_macro: 0.8539 | pixel_accuracy: 0.9179 | img_miou: 0.6933 | img_f1_macro: 0.7787 | img_pixel_accuracy: 0.9179 | val_loss: 0.3425
Epoch 30/10000 | train_loss: 0.0794 | miou: 0.7615 | f1_macro: 0.8590 | pixel_accuracy: 0.9138 | img_miou: 0.6949 | img_f1_macro: 0.7772 | img_pixel_accuracy: 0.9138 | val_loss: 0.4318
Epoch 31/10000 | train_loss: 0.0781 | miou: 0.7492 | f1_macro: 0.8474 | pixel_accuracy: 0.9172 | img_miou: 0.6916 | img_f1_macro: 0.7784 | img_pixel_accuracy: 0.9172 | val_loss: 0.3386
Epoch 32/10000 | train_loss: 0.0748 | miou: 0.7554 | f1_macro: 0.8535 | pixel_accuracy: 0.9155 | img_miou: 0.6883 | img_f1_macro: 0.7729 | img_pixel_accuracy: 0.9155 | val_loss: 0.3926
