==========================================
Job ID: 3165408
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83_raw_10k.yaml
Run Name: unet-raw-10k
Wall time: 7 days
==========================================
Mon Feb 23 14:24:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:0F:00.0 Off |                    0 |
| N/A   26C    P0             53W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/10000 | train_loss: 1.6371 | miou: 0.0806 | f1_macro: 0.1348 | pixel_accuracy: 0.2772 | img_miou: 0.0787 | img_f1_macro: 0.1270 | img_pixel_accuracy: 0.2772 | val_loss: 1.5819
Epoch 2/10000 | train_loss: 1.4433 | miou: 0.1506 | f1_macro: 0.2312 | pixel_accuracy: 0.4196 | img_miou: 0.1533 | img_f1_macro: 0.2287 | img_pixel_accuracy: 0.4196 | val_loss: 1.4631
Epoch 3/10000 | train_loss: 1.2893 | miou: 0.1840 | f1_macro: 0.2771 | pixel_accuracy: 0.4645 | img_miou: 0.2123 | img_f1_macro: 0.2915 | img_pixel_accuracy: 0.4645 | val_loss: 1.3449
Epoch 4/10000 | train_loss: 1.2118 | miou: 0.2252 | f1_macro: 0.3318 | pixel_accuracy: 0.5169 | img_miou: 0.2407 | img_f1_macro: 0.3355 | img_pixel_accuracy: 0.5169 | val_loss: 1.2957
Epoch 5/10000 | train_loss: 1.1852 | miou: 0.1374 | f1_macro: 0.2071 | pixel_accuracy: 0.4145 | img_miou: 0.1415 | img_f1_macro: 0.2056 | img_pixel_accuracy: 0.4145 | val_loss: 1.3963
Epoch 6/10000 | train_loss: 1.1354 | miou: 0.2404 | f1_macro: 0.3436 | pixel_accuracy: 0.5595 | img_miou: 0.2465 | img_f1_macro: 0.3352 | img_pixel_accuracy: 0.5595 | val_loss: 1.2318
Epoch 7/10000 | train_loss: 1.1007 | miou: 0.3083 | f1_macro: 0.4184 | pixel_accuracy: 0.6404 | img_miou: 0.3089 | img_f1_macro: 0.4069 | img_pixel_accuracy: 0.6404 | val_loss: 1.1977
Epoch 8/10000 | train_loss: 1.0786 | miou: 0.3262 | f1_macro: 0.4392 | pixel_accuracy: 0.6605 | img_miou: 0.3317 | img_f1_macro: 0.4308 | img_pixel_accuracy: 0.6605 | val_loss: 1.1738
Epoch 9/10000 | train_loss: 1.0410 | miou: 0.2784 | f1_macro: 0.3928 | pixel_accuracy: 0.5953 | img_miou: 0.2857 | img_f1_macro: 0.3867 | img_pixel_accuracy: 0.5953 | val_loss: 1.1625
Epoch 10/10000 | train_loss: 1.0306 | miou: 0.2207 | f1_macro: 0.3207 | pixel_accuracy: 0.5315 | img_miou: 0.2267 | img_f1_macro: 0.3168 | img_pixel_accuracy: 0.5315 | val_loss: 1.2672
Epoch 11/10000 | train_loss: 1.0238 | miou: 0.3085 | f1_macro: 0.4221 | pixel_accuracy: 0.6402 | img_miou: 0.3069 | img_f1_macro: 0.4092 | img_pixel_accuracy: 0.6402 | val_loss: 1.1485
Epoch 12/10000 | train_loss: 1.0142 | miou: 0.3185 | f1_macro: 0.4381 | pixel_accuracy: 0.6420 | img_miou: 0.3173 | img_f1_macro: 0.4251 | img_pixel_accuracy: 0.6420 | val_loss: 1.1228
Epoch 13/10000 | train_loss: 0.9746 | miou: 0.3218 | f1_macro: 0.4355 | pixel_accuracy: 0.6610 | img_miou: 0.3237 | img_f1_macro: 0.4293 | img_pixel_accuracy: 0.6610 | val_loss: 1.1102
Epoch 14/10000 | train_loss: 0.9381 | miou: 0.2928 | f1_macro: 0.4071 | pixel_accuracy: 0.6112 | img_miou: 0.3178 | img_f1_macro: 0.4053 | img_pixel_accuracy: 0.6112 | val_loss: 1.2994
Epoch 15/10000 | train_loss: 0.9952 | miou: 0.3328 | f1_macro: 0.4528 | pixel_accuracy: 0.6533 | img_miou: 0.3351 | img_f1_macro: 0.4422 | img_pixel_accuracy: 0.6533 | val_loss: 1.0882
