==========================================
Job ID: 3160314
Node: dgxt001
GPU: 0
Experiment: configs/experiment/deeplabv3_dataset83.yaml
Run Name: deeplabv3-d83
==========================================
Sun Feb 22 12:45:05 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:07:00.0 Off |                    0 |
| N/A   26C    P0             51W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 11 train / 3 val (from 14 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/1000 | train_loss: 1.6656 | miou: 0.0850 | f1_macro: 0.1492 | pixel_accuracy: 0.2392 | val_loss: 1.7991
Epoch 2/1000 | train_loss: 1.4425 | miou: 0.1280 | f1_macro: 0.2133 | pixel_accuracy: 0.3648 | val_loss: 1.7801
Epoch 3/1000 | train_loss: 1.3349 | miou: 0.1526 | f1_macro: 0.2478 | pixel_accuracy: 0.4078 | val_loss: 1.7569
Epoch 4/1000 | train_loss: 1.1017 | miou: 0.1658 | f1_macro: 0.2694 | pixel_accuracy: 0.3941 | val_loss: 1.8016
Epoch 5/1000 | train_loss: 1.0218 | miou: 0.1916 | f1_macro: 0.3025 | pixel_accuracy: 0.4338 | val_loss: 1.8085
Epoch 6/1000 | train_loss: 0.9242 | miou: 0.1908 | f1_macro: 0.2971 | pixel_accuracy: 0.4486 | val_loss: 1.8111
Epoch 7/1000 | train_loss: 0.9101 | miou: 0.2175 | f1_macro: 0.3286 | pixel_accuracy: 0.4946 | val_loss: 1.8117
Epoch 8/1000 | train_loss: 0.8608 | miou: 0.2348 | f1_macro: 0.3508 | pixel_accuracy: 0.5194 | val_loss: 1.8270
Epoch 9/1000 | train_loss: 0.8524 | miou: 0.2427 | f1_macro: 0.3630 | pixel_accuracy: 0.5146 | val_loss: 1.8503
Epoch 10/1000 | train_loss: 0.8089 | miou: 0.2398 | f1_macro: 0.3586 | pixel_accuracy: 0.4958 | val_loss: 1.8469
Epoch 11/1000 | train_loss: 0.7787 | miou: 0.2364 | f1_macro: 0.3568 | pixel_accuracy: 0.4957 | val_loss: 1.9166
Epoch 12/1000 | train_loss: 0.8215 | miou: 0.2254 | f1_macro: 0.3397 | pixel_accuracy: 0.4807 | val_loss: 1.9441
Epoch 13/1000 | train_loss: 0.7973 | miou: 0.2330 | f1_macro: 0.3505 | pixel_accuracy: 0.4920 | val_loss: 1.9972
Epoch 14/1000 | train_loss: 0.7672 | miou: 0.2362 | f1_macro: 0.3590 | pixel_accuracy: 0.4684 | val_loss: 1.8513
Epoch 15/1000 | train_loss: 0.8254 | miou: 0.2228 | f1_macro: 0.3388 | pixel_accuracy: 0.4568 | val_loss: 1.8540
Epoch 16/1000 | train_loss: 0.7757 | miou: 0.2453 | f1_macro: 0.3740 | pixel_accuracy: 0.4514 | val_loss: 1.8957
Epoch 17/1000 | train_loss: 0.7659 | miou: 0.2458 | f1_macro: 0.3742 | pixel_accuracy: 0.4580 | val_loss: 1.8843
Epoch 18/1000 | train_loss: 0.7513 | miou: 0.2513 | f1_macro: 0.3798 | pixel_accuracy: 0.4549 | val_loss: 1.9575
Epoch 19/1000 | train_loss: 0.7543 | miou: 0.2422 | f1_macro: 0.3613 | pixel_accuracy: 0.4661 | val_loss: 1.9525
Epoch 20/1000 | train_loss: 0.7638 | miou: 0.2526 | f1_macro: 0.3824 | pixel_accuracy: 0.4625 | val_loss: 1.8123
Epoch 21/1000 | train_loss: 0.7593 | miou: 0.2243 | f1_macro: 0.3466 | pixel_accuracy: 0.4591 | val_loss: 1.7734
Epoch 22/1000 | train_loss: 0.7158 | miou: 0.2330 | f1_macro: 0.3535 | pixel_accuracy: 0.4748 | val_loss: 1.7682
Epoch 23/1000 | train_loss: 0.7432 | miou: 0.2456 | f1_macro: 0.3717 | pixel_accuracy: 0.4706 | val_loss: 1.7744
Epoch 24/1000 | train_loss: 0.6732 | miou: 0.2560 | f1_macro: 0.3903 | pixel_accuracy: 0.4651 | val_loss: 1.7451
Epoch 25/1000 | train_loss: 0.7088 | miou: 0.2369 | f1_macro: 0.3602 | pixel_accuracy: 0.4535 | val_loss: 1.7776
Epoch 26/1000 | train_loss: 0.7100 | miou: 0.2201 | f1_macro: 0.3334 | pixel_accuracy: 0.4342 | val_loss: 1.8145
Epoch 27/1000 | train_loss: 0.7208 | miou: 0.2358 | f1_macro: 0.3641 | pixel_accuracy: 0.4595 | val_loss: 1.8005
Epoch 28/1000 | train_loss: 0.7055 | miou: 0.2369 | f1_macro: 0.3682 | pixel_accuracy: 0.4414 | val_loss: 1.8870
Epoch 29/1000 | train_loss: 0.7316 | miou: 0.2381 | f1_macro: 0.3697 | pixel_accuracy: 0.4151 | val_loss: 1.9623
Epoch 30/1000 | train_loss: 0.7080 | miou: 0.2488 | f1_macro: 0.3808 | pixel_accuracy: 0.4352 | val_loss: 1.8899
Epoch 31/1000 | train_loss: 0.7077 | miou: 0.2282 | f1_macro: 0.3524 | pixel_accuracy: 0.4556 | val_loss: 1.7899
Epoch 32/1000 | train_loss: 0.7125 | miou: 0.2334 | f1_macro: 0.3573 | pixel_accuracy: 0.4791 | val_loss: 1.6826
Epoch 33/1000 | train_loss: 0.7025 | miou: 0.2088 | f1_macro: 0.3290 | pixel_accuracy: 0.3903 | val_loss: 1.8434
Epoch 34/1000 | train_loss: 0.6554 | miou: 0.2126 | f1_macro: 0.3330 | pixel_accuracy: 0.3773 | val_loss: 1.9274
Epoch 35/1000 | train_loss: 0.7077 | miou: 0.2407 | f1_macro: 0.3688 | pixel_accuracy: 0.4193 | val_loss: 1.9718
Epoch 36/1000 | train_loss: 0.6953 | miou: 0.2683 | f1_macro: 0.4033 | pixel_accuracy: 0.4557 | val_loss: 1.9229
Epoch 37/1000 | train_loss: 0.7428 | miou: 0.2890 | f1_macro: 0.4285 | pixel_accuracy: 0.4827 | val_loss: 1.7513
