==========================================
Job ID: 3160341
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83.yaml
Run Name: unet-d83
==========================================
Sun Feb 22 12:57:59 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:90:00.0 Off |                    0 |
| N/A   45C    P0             58W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 11 train / 3 val (from 14 total)
Model: unet
Trainable parameters: 31,030,918
Epoch 1/1000 | train_loss: 1.7906 | miou: 0.0041 | f1_macro: 0.0079 | pixel_accuracy: 0.0244 | val_loss: 1.7880
Epoch 2/1000 | train_loss: 1.7716 | miou: 0.0041 | f1_macro: 0.0079 | pixel_accuracy: 0.0244 | val_loss: 1.7701
Epoch 3/1000 | train_loss: 1.7404 | miou: 0.0683 | f1_macro: 0.0983 | pixel_accuracy: 0.3984 | val_loss: 1.7223
Epoch 4/1000 | train_loss: 1.6502 | miou: 0.0666 | f1_macro: 0.0953 | pixel_accuracy: 0.3987 | val_loss: 1.6286
Epoch 5/1000 | train_loss: 1.6420 | miou: 0.0669 | f1_macro: 0.0960 | pixel_accuracy: 0.3992 | val_loss: 1.6464
Epoch 6/1000 | train_loss: 1.6273 | miou: 0.0667 | f1_macro: 0.0956 | pixel_accuracy: 0.3993 | val_loss: 1.5685
Epoch 7/1000 | train_loss: 1.6376 | miou: 0.1701 | f1_macro: 0.2254 | pixel_accuracy: 0.5919 | val_loss: 1.6089
Epoch 8/1000 | train_loss: 1.6165 | miou: 0.1458 | f1_macro: 0.2027 | pixel_accuracy: 0.5483 | val_loss: 1.5413
Epoch 9/1000 | train_loss: 1.6050 | miou: 0.1748 | f1_macro: 0.2321 | pixel_accuracy: 0.5903 | val_loss: 1.5109
Epoch 10/1000 | train_loss: 1.6048 | miou: 0.1797 | f1_macro: 0.2401 | pixel_accuracy: 0.5924 | val_loss: 1.4750
Epoch 11/1000 | train_loss: 1.5869 | miou: 0.1782 | f1_macro: 0.2354 | pixel_accuracy: 0.5963 | val_loss: 1.4135
Epoch 12/1000 | train_loss: 1.5744 | miou: 0.1801 | f1_macro: 0.2376 | pixel_accuracy: 0.5983 | val_loss: 1.3691
Epoch 13/1000 | train_loss: 1.5659 | miou: 0.1791 | f1_macro: 0.2406 | pixel_accuracy: 0.5913 | val_loss: 1.3342
Epoch 14/1000 | train_loss: 1.5588 | miou: 0.1806 | f1_macro: 0.2394 | pixel_accuracy: 0.5972 | val_loss: 1.2897
Epoch 15/1000 | train_loss: 1.5216 | miou: 0.1811 | f1_macro: 0.2407 | pixel_accuracy: 0.5978 | val_loss: 1.2650
Epoch 16/1000 | train_loss: 1.4834 | miou: 0.1940 | f1_macro: 0.2560 | pixel_accuracy: 0.6148 | val_loss: 1.2289
Epoch 17/1000 | train_loss: 1.5548 | miou: 0.1851 | f1_macro: 0.2483 | pixel_accuracy: 0.5908 | val_loss: 1.2756
Epoch 18/1000 | train_loss: 1.5372 | miou: 0.1768 | f1_macro: 0.2453 | pixel_accuracy: 0.5722 | val_loss: 1.3206
Epoch 19/1000 | train_loss: 1.5365 | miou: 0.1830 | f1_macro: 0.2498 | pixel_accuracy: 0.5844 | val_loss: 1.2775
Epoch 20/1000 | train_loss: 1.5416 | miou: 0.1904 | f1_macro: 0.2569 | pixel_accuracy: 0.5891 | val_loss: 1.2774
Epoch 21/1000 | train_loss: 1.4925 | miou: 0.2094 | f1_macro: 0.2846 | pixel_accuracy: 0.6038 | val_loss: 1.2803
Epoch 22/1000 | train_loss: 1.4715 | miou: 0.2032 | f1_macro: 0.2731 | pixel_accuracy: 0.6066 | val_loss: 1.2608
Epoch 23/1000 | train_loss: 1.4424 | miou: 0.2030 | f1_macro: 0.2721 | pixel_accuracy: 0.6102 | val_loss: 1.2374
Epoch 24/1000 | train_loss: 1.4352 | miou: 0.2064 | f1_macro: 0.2760 | pixel_accuracy: 0.6091 | val_loss: 1.2587
Epoch 25/1000 | train_loss: 1.4447 | miou: 0.2067 | f1_macro: 0.2757 | pixel_accuracy: 0.6109 | val_loss: 1.2403
Epoch 26/1000 | train_loss: 1.4144 | miou: 0.2075 | f1_macro: 0.2779 | pixel_accuracy: 0.6115 | val_loss: 1.2257
Epoch 27/1000 | train_loss: 1.4455 | miou: 0.2068 | f1_macro: 0.2758 | pixel_accuracy: 0.6100 | val_loss: 1.2423
Epoch 28/1000 | train_loss: 1.4052 | miou: 0.2112 | f1_macro: 0.2828 | pixel_accuracy: 0.6143 | val_loss: 1.2398
Epoch 29/1000 | train_loss: 1.4200 | miou: 0.2084 | f1_macro: 0.2782 | pixel_accuracy: 0.6106 | val_loss: 1.2412
Epoch 30/1000 | train_loss: 1.4255 | miou: 0.2107 | f1_macro: 0.2815 | pixel_accuracy: 0.6129 | val_loss: 1.2351
Epoch 31/1000 | train_loss: 1.3886 | miou: 0.2085 | f1_macro: 0.2778 | pixel_accuracy: 0.6137 | val_loss: 1.2140
Epoch 32/1000 | train_loss: 1.3831 | miou: 0.2149 | f1_macro: 0.2868 | pixel_accuracy: 0.6160 | val_loss: 1.2240
Epoch 33/1000 | train_loss: 1.3610 | miou: 0.2100 | f1_macro: 0.2800 | pixel_accuracy: 0.6126 | val_loss: 1.2052
Epoch 34/1000 | train_loss: 1.3736 | miou: 0.2093 | f1_macro: 0.2808 | pixel_accuracy: 0.6069 | val_loss: 1.2184
Epoch 35/1000 | train_loss: 1.3925 | miou: 0.2244 | f1_macro: 0.2994 | pixel_accuracy: 0.6252 | val_loss: 1.2246
Epoch 36/1000 | train_loss: 1.3392 | miou: 0.2059 | f1_macro: 0.2807 | pixel_accuracy: 0.5919 | val_loss: 1.2696
Epoch 37/1000 | train_loss: 1.4549 | miou: 0.2590 | f1_macro: 0.3386 | pixel_accuracy: 0.6637 | val_loss: 1.2903
Epoch 38/1000 | train_loss: 1.3519 | miou: 0.2077 | f1_macro: 0.2827 | pixel_accuracy: 0.5935 | val_loss: 1.2793
Epoch 39/1000 | train_loss: 1.4303 | miou: 0.2419 | f1_macro: 0.3203 | pixel_accuracy: 0.6378 | val_loss: 1.2715
Epoch 40/1000 | train_loss: 1.3482 | miou: 0.2004 | f1_macro: 0.2728 | pixel_accuracy: 0.5848 | val_loss: 1.2370
Epoch 41/1000 | train_loss: 1.3694 | miou: 0.2227 | f1_macro: 0.2984 | pixel_accuracy: 0.6195 | val_loss: 1.2267
Epoch 42/1000 | train_loss: 1.3766 | miou: 0.2133 | f1_macro: 0.2914 | pixel_accuracy: 0.5954 | val_loss: 1.2437
Epoch 43/1000 | train_loss: 1.4332 | miou: 0.2240 | f1_macro: 0.3029 | pixel_accuracy: 0.6138 | val_loss: 1.2571
Epoch 44/1000 | train_loss: 1.3579 | miou: 0.2235 | f1_macro: 0.3012 | pixel_accuracy: 0.6169 | val_loss: 1.2443
Epoch 45/1000 | train_loss: 1.3398 | miou: 0.2287 | f1_macro: 0.3072 | pixel_accuracy: 0.6197 | val_loss: 1.2559
Epoch 46/1000 | train_loss: 1.3669 | miou: 0.2507 | f1_macro: 0.3288 | pixel_accuracy: 0.6560 | val_loss: 1.2335
Epoch 47/1000 | train_loss: 1.3348 | miou: 0.2226 | f1_macro: 0.3012 | pixel_accuracy: 0.6110 | val_loss: 1.2312
Epoch 48/1000 | train_loss: 1.3608 | miou: 0.2560 | f1_macro: 0.3314 | pixel_accuracy: 0.6531 | val_loss: 1.2615
Epoch 49/1000 | train_loss: 1.4232 | miou: 0.2417 | f1_macro: 0.3217 | pixel_accuracy: 0.6385 | val_loss: 1.2403
Epoch 50/1000 | train_loss: 1.4068 | miou: 0.2384 | f1_macro: 0.3192 | pixel_accuracy: 0.6311 | val_loss: 1.2494
Epoch 51/1000 | train_loss: 1.3463 | miou: 0.2047 | f1_macro: 0.2843 | pixel_accuracy: 0.5754 | val_loss: 1.2507
Epoch 52/1000 | train_loss: 1.3115 | miou: 0.2091 | f1_macro: 0.2895 | pixel_accuracy: 0.5809 | val_loss: 1.2599
Epoch 53/1000 | train_loss: 1.3112 | miou: 0.2446 | f1_macro: 0.3226 | pixel_accuracy: 0.6474 | val_loss: 1.1836
Epoch 54/1000 | train_loss: 1.4018 | miou: 0.2529 | f1_macro: 0.3267 | pixel_accuracy: 0.6549 | val_loss: 1.1951
Epoch 55/1000 | train_loss: 1.3803 | miou: 0.2142 | f1_macro: 0.2926 | pixel_accuracy: 0.5953 | val_loss: 1.2198
Epoch 56/1000 | train_loss: 1.3382 | miou: 0.2397 | f1_macro: 0.3201 | pixel_accuracy: 0.6331 | val_loss: 1.2440
Epoch 57/1000 | train_loss: 1.3026 | miou: 0.2581 | f1_macro: 0.3370 | pixel_accuracy: 0.6640 | val_loss: 1.1931
Epoch 58/1000 | train_loss: 1.2988 | miou: 0.2538 | f1_macro: 0.3290 | pixel_accuracy: 0.6534 | val_loss: 1.1832
Epoch 59/1000 | train_loss: 1.3666 | miou: 0.2321 | f1_macro: 0.3113 | pixel_accuracy: 0.6237 | val_loss: 1.1884
Epoch 60/1000 | train_loss: 1.3730 | miou: 0.2623 | f1_macro: 0.3408 | pixel_accuracy: 0.6704 | val_loss: 1.2019
Epoch 61/1000 | train_loss: 1.4462 | miou: 0.2682 | f1_macro: 0.3469 | pixel_accuracy: 0.6762 | val_loss: 1.2562
Epoch 62/1000 | train_loss: 1.3152 | miou: 0.2479 | f1_macro: 0.3292 | pixel_accuracy: 0.6448 | val_loss: 1.2397
Epoch 63/1000 | train_loss: 1.2974 | miou: 0.2420 | f1_macro: 0.3232 | pixel_accuracy: 0.6362 | val_loss: 1.2239
Epoch 64/1000 | train_loss: 1.3230 | miou: 0.2406 | f1_macro: 0.3214 | pixel_accuracy: 0.6345 | val_loss: 1.2190
Epoch 65/1000 | train_loss: 1.4254 | miou: 0.2472 | f1_macro: 0.3280 | pixel_accuracy: 0.6441 | val_loss: 1.2224
