==========================================
Job ID: 3160354
Node: gput074
GPU: 0
Experiment: configs/experiment/unet_dataset116.yaml
Run Name: unet-d116
==========================================
Sun Feb 22 13:08:33 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090        On  |   00000000:0A:00.0 Off |                  Off |
| 32%   24C    P8             22W /  450W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 98 train / 18 val (from 116 total)
Model: unet
Trainable parameters: 31,030,918
Epoch 1/1000 | train_loss: 1.6490 | miou: 0.0766 | f1_macro: 0.1236 | pixel_accuracy: 0.3089 | val_loss: 1.5406
Epoch 2/1000 | train_loss: 1.4910 | miou: 0.1391 | f1_macro: 0.1961 | pixel_accuracy: 0.4512 | val_loss: 1.4777
Epoch 3/1000 | train_loss: 1.4376 | miou: 0.2348 | f1_macro: 0.3165 | pixel_accuracy: 0.5689 | val_loss: 1.4264
Epoch 4/1000 | train_loss: 1.4047 | miou: 0.2468 | f1_macro: 0.3298 | pixel_accuracy: 0.5956 | val_loss: 1.4227
Epoch 5/1000 | train_loss: 1.3790 | miou: 0.2628 | f1_macro: 0.3426 | pixel_accuracy: 0.6092 | val_loss: 1.3319
Epoch 6/1000 | train_loss: 1.3503 | miou: 0.2751 | f1_macro: 0.3529 | pixel_accuracy: 0.6274 | val_loss: 1.3384
Epoch 7/1000 | train_loss: 1.3197 | miou: 0.2756 | f1_macro: 0.3543 | pixel_accuracy: 0.6379 | val_loss: 1.2891
Epoch 8/1000 | train_loss: 1.3442 | miou: 0.2715 | f1_macro: 0.3510 | pixel_accuracy: 0.6316 | val_loss: 1.2750
Epoch 9/1000 | train_loss: 1.3099 | miou: 0.2752 | f1_macro: 0.3543 | pixel_accuracy: 0.6374 | val_loss: 1.2533
Epoch 10/1000 | train_loss: 1.3037 | miou: 0.2866 | f1_macro: 0.3630 | pixel_accuracy: 0.6501 | val_loss: 1.2396
Epoch 11/1000 | train_loss: 1.2978 | miou: 0.2738 | f1_macro: 0.3528 | pixel_accuracy: 0.6350 | val_loss: 1.2394
