==========================================
Job ID: 3160356
Node: gput074
GPU: 0
Experiment: configs/experiment/deeplabv3plus_dataset116.yaml
Run Name: deeplabv3plus-d116
==========================================
Sun Feb 22 13:08:34 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090        On  |   00000000:83:00.0 Off |                  Off |
| 32%   26C    P8             12W /  450W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 98 train / 18 val (from 116 total)
Model: deeplabv3plus
Trainable parameters: 58,627,142
Epoch 1/1000 | train_loss: 1.2102 | miou: 0.4054 | f1_macro: 0.5118 | pixel_accuracy: 0.7391 | val_loss: 0.8387
Epoch 2/1000 | train_loss: 0.9812 | miou: 0.5167 | f1_macro: 0.6273 | pixel_accuracy: 0.7930 | val_loss: 0.6668
Epoch 3/1000 | train_loss: 0.9135 | miou: 0.5852 | f1_macro: 0.6987 | pixel_accuracy: 0.8315 | val_loss: 0.5719
Epoch 4/1000 | train_loss: 0.8408 | miou: 0.5678 | f1_macro: 0.6849 | pixel_accuracy: 0.8285 | val_loss: 0.5869
Epoch 5/1000 | train_loss: 0.7936 | miou: 0.5923 | f1_macro: 0.7036 | pixel_accuracy: 0.8422 | val_loss: 0.5377
Epoch 6/1000 | train_loss: 0.7414 | miou: 0.6152 | f1_macro: 0.7242 | pixel_accuracy: 0.8537 | val_loss: 0.5124
Epoch 7/1000 | train_loss: 0.6889 | miou: 0.6074 | f1_macro: 0.7224 | pixel_accuracy: 0.8413 | val_loss: 0.5487
Epoch 8/1000 | train_loss: 0.6461 | miou: 0.6195 | f1_macro: 0.7214 | pixel_accuracy: 0.8631 | val_loss: 0.4906
Epoch 9/1000 | train_loss: 0.6511 | miou: 0.5888 | f1_macro: 0.7077 | pixel_accuracy: 0.8237 | val_loss: 0.5628
Epoch 10/1000 | train_loss: 0.5942 | miou: 0.6245 | f1_macro: 0.7297 | pixel_accuracy: 0.8613 | val_loss: 0.5304
Epoch 11/1000 | train_loss: 0.5955 | miou: 0.6279 | f1_macro: 0.7328 | pixel_accuracy: 0.8620 | val_loss: 0.4761
Epoch 12/1000 | train_loss: 0.5658 | miou: 0.6486 | f1_macro: 0.7543 | pixel_accuracy: 0.8732 | val_loss: 0.4714
Epoch 13/1000 | train_loss: 0.5614 | miou: 0.6635 | f1_macro: 0.7743 | pixel_accuracy: 0.8708 | val_loss: 0.4740
Epoch 14/1000 | train_loss: 0.5891 | miou: 0.6597 | f1_macro: 0.7709 | pixel_accuracy: 0.8723 | val_loss: 0.4407
Epoch 15/1000 | train_loss: 0.5626 | miou: 0.6615 | f1_macro: 0.7736 | pixel_accuracy: 0.8725 | val_loss: 0.4377
Epoch 16/1000 | train_loss: 0.5596 | miou: 0.6308 | f1_macro: 0.7460 | pixel_accuracy: 0.8548 | val_loss: 0.4751
Epoch 17/1000 | train_loss: 0.5897 | miou: 0.6548 | f1_macro: 0.7619 | pixel_accuracy: 0.8732 | val_loss: 0.4321
Epoch 18/1000 | train_loss: 0.5464 | miou: 0.6494 | f1_macro: 0.7493 | pixel_accuracy: 0.8775 | val_loss: 0.4498
Epoch 19/1000 | train_loss: 0.5498 | miou: 0.6611 | f1_macro: 0.7716 | pixel_accuracy: 0.8754 | val_loss: 0.4396
Epoch 20/1000 | train_loss: 0.5235 | miou: 0.6628 | f1_macro: 0.7753 | pixel_accuracy: 0.8709 | val_loss: 0.4626
Epoch 21/1000 | train_loss: 0.5032 | miou: 0.6527 | f1_macro: 0.7749 | pixel_accuracy: 0.8496 | val_loss: 0.4668
Epoch 22/1000 | train_loss: 0.5267 | miou: 0.6422 | f1_macro: 0.7477 | pixel_accuracy: 0.8696 | val_loss: 0.4636
Epoch 23/1000 | train_loss: 0.5257 | miou: 0.6602 | f1_macro: 0.7708 | pixel_accuracy: 0.8754 | val_loss: 0.4529
Epoch 24/1000 | train_loss: 0.4919 | miou: 0.6600 | f1_macro: 0.7766 | pixel_accuracy: 0.8651 | val_loss: 0.4538
Epoch 25/1000 | train_loss: 0.4965 | miou: 0.6608 | f1_macro: 0.7843 | pixel_accuracy: 0.8464 | val_loss: 0.5131
Epoch 26/1000 | train_loss: 0.4812 | miou: 0.6433 | f1_macro: 0.7535 | pixel_accuracy: 0.8635 | val_loss: 0.4796
Epoch 27/1000 | train_loss: 0.4719 | miou: 0.6921 | f1_macro: 0.8030 | pixel_accuracy: 0.8828 | val_loss: 0.4130
Epoch 28/1000 | train_loss: 0.4699 | miou: 0.6784 | f1_macro: 0.7857 | pixel_accuracy: 0.8806 | val_loss: 0.3999
Epoch 29/1000 | train_loss: 0.4844 | miou: 0.6819 | f1_macro: 0.7933 | pixel_accuracy: 0.8781 | val_loss: 0.4220
Epoch 30/1000 | train_loss: 0.4809 | miou: 0.6829 | f1_macro: 0.7907 | pixel_accuracy: 0.8824 | val_loss: 0.4236
Epoch 31/1000 | train_loss: 0.4782 | miou: 0.6664 | f1_macro: 0.7739 | pixel_accuracy: 0.8772 | val_loss: 0.4653
Epoch 32/1000 | train_loss: 0.4692 | miou: 0.6516 | f1_macro: 0.7727 | pixel_accuracy: 0.8502 | val_loss: 0.5036
Epoch 33/1000 | train_loss: 0.4991 | miou: 0.6616 | f1_macro: 0.7729 | pixel_accuracy: 0.8712 | val_loss: 0.4368
Epoch 34/1000 | train_loss: 0.4919 | miou: 0.6587 | f1_macro: 0.7729 | pixel_accuracy: 0.8578 | val_loss: 0.4553
Epoch 35/1000 | train_loss: 0.4496 | miou: 0.6705 | f1_macro: 0.7812 | pixel_accuracy: 0.8733 | val_loss: 0.4553
Epoch 36/1000 | train_loss: 0.4653 | miou: 0.6810 | f1_macro: 0.7920 | pixel_accuracy: 0.8780 | val_loss: 0.4511
Epoch 37/1000 | train_loss: 0.4419 | miou: 0.6867 | f1_macro: 0.7976 | pixel_accuracy: 0.8823 | val_loss: 0.4404
Epoch 38/1000 | train_loss: 0.4654 | miou: 0.6531 | f1_macro: 0.7604 | pixel_accuracy: 0.8791 | val_loss: 0.4673
Epoch 39/1000 | train_loss: 0.4513 | miou: 0.6557 | f1_macro: 0.7667 | pixel_accuracy: 0.8684 | val_loss: 0.4477
Epoch 40/1000 | train_loss: 0.4485 | miou: 0.6906 | f1_macro: 0.7995 | pixel_accuracy: 0.8800 | val_loss: 0.4235
Epoch 41/1000 | train_loss: 0.4643 | miou: 0.6638 | f1_macro: 0.7724 | pixel_accuracy: 0.8737 | val_loss: 0.4653
Epoch 42/1000 | train_loss: 0.4604 | miou: 0.6983 | f1_macro: 0.8075 | pixel_accuracy: 0.8846 | val_loss: 0.4071
Epoch 43/1000 | train_loss: 0.4585 | miou: 0.6364 | f1_macro: 0.7557 | pixel_accuracy: 0.8457 | val_loss: 0.5672
Epoch 44/1000 | train_loss: 0.4825 | miou: 0.6617 | f1_macro: 0.7758 | pixel_accuracy: 0.8659 | val_loss: 0.4643
Epoch 45/1000 | train_loss: 0.4668 | miou: 0.6753 | f1_macro: 0.7853 | pixel_accuracy: 0.8780 | val_loss: 0.4631
Epoch 46/1000 | train_loss: 0.4478 | miou: 0.6479 | f1_macro: 0.7623 | pixel_accuracy: 0.8672 | val_loss: 0.5138
Epoch 47/1000 | train_loss: 0.4703 | miou: 0.6709 | f1_macro: 0.7814 | pixel_accuracy: 0.8739 | val_loss: 0.4492
Epoch 48/1000 | train_loss: 0.4627 | miou: 0.6936 | f1_macro: 0.8038 | pixel_accuracy: 0.8814 | val_loss: 0.4163
Epoch 49/1000 | train_loss: 0.4657 | miou: 0.6519 | f1_macro: 0.7729 | pixel_accuracy: 0.8520 | val_loss: 0.4900
Epoch 50/1000 | train_loss: 0.4577 | miou: 0.6517 | f1_macro: 0.7700 | pixel_accuracy: 0.8533 | val_loss: 0.5007
Epoch 51/1000 | train_loss: 0.4503 | miou: 0.6440 | f1_macro: 0.7591 | pixel_accuracy: 0.8612 | val_loss: 0.4826
Epoch 52/1000 | train_loss: 0.4343 | miou: 0.6811 | f1_macro: 0.7973 | pixel_accuracy: 0.8699 | val_loss: 0.4588
Epoch 53/1000 | train_loss: 0.4384 | miou: 0.6870 | f1_macro: 0.8033 | pixel_accuracy: 0.8686 | val_loss: 0.4364
Epoch 54/1000 | train_loss: 0.4258 | miou: 0.6841 | f1_macro: 0.8000 | pixel_accuracy: 0.8688 | val_loss: 0.4296
Epoch 55/1000 | train_loss: 0.4219 | miou: 0.6752 | f1_macro: 0.7863 | pixel_accuracy: 0.8784 | val_loss: 0.4521
Epoch 56/1000 | train_loss: 0.4212 | miou: 0.6669 | f1_macro: 0.7778 | pixel_accuracy: 0.8733 | val_loss: 0.4757
Epoch 57/1000 | train_loss: 0.4333 | miou: 0.6870 | f1_macro: 0.7977 | pixel_accuracy: 0.8781 | val_loss: 0.4281
Epoch 58/1000 | train_loss: 0.4189 | miou: 0.6862 | f1_macro: 0.7950 | pixel_accuracy: 0.8825 | val_loss: 0.4318
Epoch 59/1000 | train_loss: 0.4201 | miou: 0.6942 | f1_macro: 0.8025 | pixel_accuracy: 0.8854 | val_loss: 0.4104
Epoch 60/1000 | train_loss: 0.4371 | miou: 0.6801 | f1_macro: 0.7899 | pixel_accuracy: 0.8795 | val_loss: 0.4378
Epoch 61/1000 | train_loss: 0.3995 | miou: 0.6776 | f1_macro: 0.7880 | pixel_accuracy: 0.8797 | val_loss: 0.4511
Epoch 62/1000 | train_loss: 0.4064 | miou: 0.7037 | f1_macro: 0.8118 | pixel_accuracy: 0.8856 | val_loss: 0.4045
Epoch 63/1000 | train_loss: 0.4333 | miou: 0.6739 | f1_macro: 0.7874 | pixel_accuracy: 0.8692 | val_loss: 0.4870
Epoch 64/1000 | train_loss: 0.3996 | miou: 0.6778 | f1_macro: 0.7906 | pixel_accuracy: 0.8743 | val_loss: 0.4543
Epoch 65/1000 | train_loss: 0.4159 | miou: 0.6850 | f1_macro: 0.8002 | pixel_accuracy: 0.8740 | val_loss: 0.4588
Epoch 66/1000 | train_loss: 0.4289 | miou: 0.6919 | f1_macro: 0.8010 | pixel_accuracy: 0.8829 | val_loss: 0.4310
Epoch 67/1000 | train_loss: 0.4107 | miou: 0.6784 | f1_macro: 0.7928 | pixel_accuracy: 0.8708 | val_loss: 0.4797
Epoch 68/1000 | train_loss: 0.3992 | miou: 0.6824 | f1_macro: 0.7945 | pixel_accuracy: 0.8793 | val_loss: 0.4660
Epoch 69/1000 | train_loss: 0.4323 | miou: 0.6890 | f1_macro: 0.7996 | pixel_accuracy: 0.8809 | val_loss: 0.4543
Epoch 70/1000 | train_loss: 0.4121 | miou: 0.7011 | f1_macro: 0.8045 | pixel_accuracy: 0.8933 | val_loss: 0.4230
Epoch 71/1000 | train_loss: 0.3963 | miou: 0.6857 | f1_macro: 0.7946 | pixel_accuracy: 0.8793 | val_loss: 0.4323
Epoch 72/1000 | train_loss: 0.4143 | miou: 0.6692 | f1_macro: 0.7819 | pixel_accuracy: 0.8695 | val_loss: 0.4649
Epoch 73/1000 | train_loss: 0.4122 | miou: 0.6897 | f1_macro: 0.7966 | pixel_accuracy: 0.8854 | val_loss: 0.4257
