==========================================
Job ID: 3160360
Node: gput064
GPU: 0
Experiment: configs/experiment/deeplabv3plus_merged.yaml
Run Name: deeplabv3plus-merged
==========================================
Sun Feb 22 13:10:27 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:CA:00.0 Off |                    0 |
| N/A   27C    P8             32W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 110 train / 20 val (from 130 total)
Model: deeplabv3plus
Trainable parameters: 58,627,142
Epoch 1/1000 | train_loss: 1.1853 | miou: 0.3960 | f1_macro: 0.5076 | pixel_accuracy: 0.7357 | val_loss: 0.8689
Epoch 2/1000 | train_loss: 0.9348 | miou: 0.5230 | f1_macro: 0.6406 | pixel_accuracy: 0.8156 | val_loss: 0.6493
Epoch 3/1000 | train_loss: 0.7583 | miou: 0.5973 | f1_macro: 0.7136 | pixel_accuracy: 0.8652 | val_loss: 0.4887
Epoch 4/1000 | train_loss: 0.6849 | miou: 0.6443 | f1_macro: 0.7583 | pixel_accuracy: 0.8830 | val_loss: 0.4350
Epoch 5/1000 | train_loss: 0.6586 | miou: 0.6399 | f1_macro: 0.7543 | pixel_accuracy: 0.8810 | val_loss: 0.4290
Epoch 6/1000 | train_loss: 0.6097 | miou: 0.6540 | f1_macro: 0.7656 | pixel_accuracy: 0.8866 | val_loss: 0.3797
Epoch 7/1000 | train_loss: 0.5673 | miou: 0.6501 | f1_macro: 0.7635 | pixel_accuracy: 0.8875 | val_loss: 0.3957
Epoch 8/1000 | train_loss: 0.5422 | miou: 0.6422 | f1_macro: 0.7539 | pixel_accuracy: 0.8855 | val_loss: 0.3875
Epoch 9/1000 | train_loss: 0.5394 | miou: 0.7086 | f1_macro: 0.8125 | pixel_accuracy: 0.9139 | val_loss: 0.3215
Epoch 10/1000 | train_loss: 0.5239 | miou: 0.6943 | f1_macro: 0.8009 | pixel_accuracy: 0.9032 | val_loss: 0.3402
Epoch 11/1000 | train_loss: 0.5461 | miou: 0.6984 | f1_macro: 0.8022 | pixel_accuracy: 0.9133 | val_loss: 0.3179
Epoch 12/1000 | train_loss: 0.5303 | miou: 0.6859 | f1_macro: 0.7923 | pixel_accuracy: 0.9094 | val_loss: 0.3404
Epoch 13/1000 | train_loss: 0.4913 | miou: 0.7063 | f1_macro: 0.8070 | pixel_accuracy: 0.9173 | val_loss: 0.3153
Epoch 14/1000 | train_loss: 0.4722 | miou: 0.7205 | f1_macro: 0.8208 | pixel_accuracy: 0.9213 | val_loss: 0.2984
Epoch 15/1000 | train_loss: 0.4765 | miou: 0.7063 | f1_macro: 0.8114 | pixel_accuracy: 0.9114 | val_loss: 0.3093
Epoch 16/1000 | train_loss: 0.4952 | miou: 0.7293 | f1_macro: 0.8300 | pixel_accuracy: 0.9182 | val_loss: 0.2798
Epoch 17/1000 | train_loss: 0.4731 | miou: 0.7168 | f1_macro: 0.8209 | pixel_accuracy: 0.9150 | val_loss: 0.3070
Epoch 18/1000 | train_loss: 0.4654 | miou: 0.7236 | f1_macro: 0.8239 | pixel_accuracy: 0.9204 | val_loss: 0.2996
Epoch 19/1000 | train_loss: 0.4379 | miou: 0.7091 | f1_macro: 0.8129 | pixel_accuracy: 0.9139 | val_loss: 0.3064
Epoch 20/1000 | train_loss: 0.4385 | miou: 0.7112 | f1_macro: 0.8152 | pixel_accuracy: 0.9136 | val_loss: 0.3100
Epoch 21/1000 | train_loss: 0.4509 | miou: 0.6844 | f1_macro: 0.7904 | pixel_accuracy: 0.9065 | val_loss: 0.3214
Epoch 22/1000 | train_loss: 0.4440 | miou: 0.7399 | f1_macro: 0.8387 | pixel_accuracy: 0.9212 | val_loss: 0.2743
Epoch 23/1000 | train_loss: 0.4362 | miou: 0.7022 | f1_macro: 0.8049 | pixel_accuracy: 0.9163 | val_loss: 0.2963
Epoch 24/1000 | train_loss: 0.4384 | miou: 0.7384 | f1_macro: 0.8365 | pixel_accuracy: 0.9246 | val_loss: 0.2777
Epoch 25/1000 | train_loss: 0.4450 | miou: 0.7245 | f1_macro: 0.8272 | pixel_accuracy: 0.9129 | val_loss: 0.2979
Epoch 26/1000 | train_loss: 0.4267 | miou: 0.7269 | f1_macro: 0.8281 | pixel_accuracy: 0.9194 | val_loss: 0.3095
Epoch 27/1000 | train_loss: 0.4129 | miou: 0.7379 | f1_macro: 0.8343 | pixel_accuracy: 0.9278 | val_loss: 0.2734
Epoch 28/1000 | train_loss: 0.4180 | miou: 0.7145 | f1_macro: 0.8168 | pixel_accuracy: 0.9142 | val_loss: 0.3054
Epoch 29/1000 | train_loss: 0.4304 | miou: 0.7351 | f1_macro: 0.8338 | pixel_accuracy: 0.9240 | val_loss: 0.2641
