==========================================
Job ID: 3160945
Node: gput063
GPU: 0
Experiment: configs/experiment/deeplabv3_merged.yaml
Run Name: deeplabv3-merged
==========================================
Sun Feb 22 16:04:20 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:E1:00.0 Off |                    0 |
| N/A   25C    P8             31W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 110 train / 20 val (from 130 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/1000 | train_loss: 1.2793 | miou: 0.2564 | f1_macro: 0.3586 | pixel_accuracy: 0.5465 | val_loss: 1.6861
Epoch 2/1000 | train_loss: 1.0068 | miou: 0.5049 | f1_macro: 0.6040 | pixel_accuracy: 0.8324 | val_loss: 0.5793
Epoch 3/1000 | train_loss: 0.8971 | miou: 0.4556 | f1_macro: 0.5738 | pixel_accuracy: 0.7680 | val_loss: 0.7399
Epoch 4/1000 | train_loss: 0.8392 | miou: 0.4955 | f1_macro: 0.6110 | pixel_accuracy: 0.7938 | val_loss: 0.6721
Epoch 5/1000 | train_loss: 0.8141 | miou: 0.4947 | f1_macro: 0.6203 | pixel_accuracy: 0.7897 | val_loss: 0.6764
Epoch 6/1000 | train_loss: 0.7319 | miou: 0.4682 | f1_macro: 0.6037 | pixel_accuracy: 0.7546 | val_loss: 0.7537
Epoch 7/1000 | train_loss: 0.7379 | miou: 0.3907 | f1_macro: 0.5285 | pixel_accuracy: 0.6750 | val_loss: 1.1009
Epoch 8/1000 | train_loss: 0.7009 | miou: 0.4772 | f1_macro: 0.6161 | pixel_accuracy: 0.7530 | val_loss: 0.7131
Epoch 9/1000 | train_loss: 0.6998 | miou: 0.5067 | f1_macro: 0.6481 | pixel_accuracy: 0.7721 | val_loss: 0.7118
Epoch 10/1000 | train_loss: 0.6748 | miou: 0.3544 | f1_macro: 0.5063 | pixel_accuracy: 0.5949 | val_loss: 1.2260
Epoch 11/1000 | train_loss: 0.6448 | miou: 0.5311 | f1_macro: 0.6691 | pixel_accuracy: 0.8039 | val_loss: 0.6309
Epoch 12/1000 | train_loss: 0.6090 | miou: 0.4584 | f1_macro: 0.6034 | pixel_accuracy: 0.7413 | val_loss: 0.8521
