==========================================
Job ID: 3161210
Node: gput074
GPU: 0
Experiment: configs/experiment/deeplabv3_dataset116.yaml
Run Name: deeplabv3-d116
==========================================
Sun Feb 22 17:01:11 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090        On  |   00000000:4A:00.0 Off |                  Off |
| 37%   40C    P8             24W /  450W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 98 train / 18 val (from 116 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/1000 | train_loss: 1.2252 | miou: 0.4151 | f1_macro: 0.5373 | pixel_accuracy: 0.7130 | val_loss: 0.8874
Epoch 2/1000 | train_loss: 0.9347 | miou: 0.5053 | f1_macro: 0.6141 | pixel_accuracy: 0.7930 | val_loss: 0.6609
Epoch 3/1000 | train_loss: 0.8133 | miou: 0.5503 | f1_macro: 0.6531 | pixel_accuracy: 0.8235 | val_loss: 0.5856
Epoch 4/1000 | train_loss: 0.7339 | miou: 0.5762 | f1_macro: 0.6841 | pixel_accuracy: 0.8346 | val_loss: 0.5222
Epoch 5/1000 | train_loss: 0.6728 | miou: 0.5926 | f1_macro: 0.6980 | pixel_accuracy: 0.8443 | val_loss: 0.5243
Epoch 6/1000 | train_loss: 0.6344 | miou: 0.6229 | f1_macro: 0.7335 | pixel_accuracy: 0.8578 | val_loss: 0.4822
Epoch 7/1000 | train_loss: 0.6261 | miou: 0.5744 | f1_macro: 0.6892 | pixel_accuracy: 0.8211 | val_loss: 0.5687
Epoch 8/1000 | train_loss: 0.6585 | miou: 0.6037 | f1_macro: 0.7178 | pixel_accuracy: 0.8410 | val_loss: 0.5052
Epoch 9/1000 | train_loss: 0.5785 | miou: 0.6193 | f1_macro: 0.7279 | pixel_accuracy: 0.8570 | val_loss: 0.4984
Epoch 10/1000 | train_loss: 0.5606 | miou: 0.6138 | f1_macro: 0.7310 | pixel_accuracy: 0.8327 | val_loss: 0.5067
Epoch 11/1000 | train_loss: 0.5562 | miou: 0.6317 | f1_macro: 0.7414 | pixel_accuracy: 0.8602 | val_loss: 0.4541
Epoch 12/1000 | train_loss: 0.5273 | miou: 0.6307 | f1_macro: 0.7421 | pixel_accuracy: 0.8572 | val_loss: 0.4674
Epoch 13/1000 | train_loss: 0.5205 | miou: 0.6448 | f1_macro: 0.7564 | pixel_accuracy: 0.8659 | val_loss: 0.4675
Epoch 14/1000 | train_loss: 0.5215 | miou: 0.6387 | f1_macro: 0.7597 | pixel_accuracy: 0.8484 | val_loss: 0.5126
