==========================================
Job ID: 3161426
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83_raw.yaml
Run Name: unet-d83-raw
==========================================
Sun Feb 22 19:58:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:07:00.0 Off |                    0 |
| N/A   31C    P0             53W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 11 train / 3 val (from 14 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 2.0917 | miou: 0.0825 | f1_macro: 0.1206 | pixel_accuracy: 0.3978 | val_loss: 1.5964
Epoch 2/1000 | train_loss: 1.8372 | miou: 0.0718 | f1_macro: 0.1214 | pixel_accuracy: 0.2517 | val_loss: 1.6908
Epoch 3/1000 | train_loss: 1.6813 | miou: 0.0875 | f1_macro: 0.1314 | pixel_accuracy: 0.3885 | val_loss: 1.6572
Epoch 4/1000 | train_loss: 1.6417 | miou: 0.0917 | f1_macro: 0.1445 | pixel_accuracy: 0.3664 | val_loss: 1.6221
Epoch 5/1000 | train_loss: 1.6216 | miou: 0.0951 | f1_macro: 0.1446 | pixel_accuracy: 0.4019 | val_loss: 1.6580
Epoch 6/1000 | train_loss: 1.6140 | miou: 0.0979 | f1_macro: 0.1586 | pixel_accuracy: 0.3525 | val_loss: 1.7069
Epoch 7/1000 | train_loss: 1.6012 | miou: 0.1032 | f1_macro: 0.1557 | pixel_accuracy: 0.4282 | val_loss: 1.6558
Epoch 8/1000 | train_loss: 1.5916 | miou: 0.0978 | f1_macro: 0.1622 | pixel_accuracy: 0.3094 | val_loss: 1.7296
Epoch 9/1000 | train_loss: 1.5720 | miou: 0.1054 | f1_macro: 0.1627 | pixel_accuracy: 0.4139 | val_loss: 1.7133
Epoch 10/1000 | train_loss: 1.5167 | miou: 0.1147 | f1_macro: 0.1838 | pixel_accuracy: 0.3661 | val_loss: 1.8506
Epoch 11/1000 | train_loss: 1.4379 | miou: 0.1014 | f1_macro: 0.1618 | pixel_accuracy: 0.3403 | val_loss: 3.1508
Epoch 12/1000 | train_loss: 1.4609 | miou: 0.1005 | f1_macro: 0.1632 | pixel_accuracy: 0.3285 | val_loss: 3.4696
Epoch 13/1000 | train_loss: 1.5067 | miou: 0.1337 | f1_macro: 0.2079 | pixel_accuracy: 0.4176 | val_loss: 1.7195
Epoch 14/1000 | train_loss: 1.4461 | miou: 0.1256 | f1_macro: 0.1982 | pixel_accuracy: 0.3871 | val_loss: 1.7609
Epoch 15/1000 | train_loss: 1.4216 | miou: 0.1033 | f1_macro: 0.1652 | pixel_accuracy: 0.3348 | val_loss: 2.0873
Epoch 16/1000 | train_loss: 1.3634 | miou: 0.1274 | f1_macro: 0.1940 | pixel_accuracy: 0.4535 | val_loss: 3.7066
Epoch 17/1000 | train_loss: 1.3194 | miou: 0.1226 | f1_macro: 0.1958 | pixel_accuracy: 0.3813 | val_loss: 3.0971
Epoch 18/1000 | train_loss: 1.2918 | miou: 0.1217 | f1_macro: 0.1810 | pixel_accuracy: 0.4571 | val_loss: 2.1398
Epoch 19/1000 | train_loss: 1.2365 | miou: 0.1226 | f1_macro: 0.1844 | pixel_accuracy: 0.4348 | val_loss: 2.0877
Epoch 20/1000 | train_loss: 1.2216 | miou: 0.1309 | f1_macro: 0.1955 | pixel_accuracy: 0.4515 | val_loss: 1.9554
Epoch 21/1000 | train_loss: 1.2547 | miou: 0.1347 | f1_macro: 0.2155 | pixel_accuracy: 0.3970 | val_loss: 3.3713
Epoch 22/1000 | train_loss: 1.2580 | miou: 0.1345 | f1_macro: 0.2144 | pixel_accuracy: 0.3963 | val_loss: 2.1048
Epoch 23/1000 | train_loss: 1.2366 | miou: 0.1865 | f1_macro: 0.2783 | pixel_accuracy: 0.5069 | val_loss: 2.4022
Epoch 24/1000 | train_loss: 1.2229 | miou: 0.1371 | f1_macro: 0.2114 | pixel_accuracy: 0.4498 | val_loss: 2.4745
Epoch 25/1000 | train_loss: 1.2332 | miou: 0.1401 | f1_macro: 0.2228 | pixel_accuracy: 0.4054 | val_loss: 2.4712
Epoch 26/1000 | train_loss: 1.2144 | miou: 0.1772 | f1_macro: 0.2689 | pixel_accuracy: 0.4866 | val_loss: 2.7360
Epoch 27/1000 | train_loss: 1.2033 | miou: 0.1716 | f1_macro: 0.2607 | pixel_accuracy: 0.4836 | val_loss: 2.6479
Epoch 28/1000 | train_loss: 1.2004 | miou: 0.1702 | f1_macro: 0.2615 | pixel_accuracy: 0.4682 | val_loss: 2.6028
Epoch 29/1000 | train_loss: 1.1941 | miou: 0.1565 | f1_macro: 0.2378 | pixel_accuracy: 0.4642 | val_loss: 2.1533
Epoch 30/1000 | train_loss: 1.1782 | miou: 0.1720 | f1_macro: 0.2634 | pixel_accuracy: 0.4744 | val_loss: 2.9119
Epoch 31/1000 | train_loss: 1.1798 | miou: 0.1509 | f1_macro: 0.2315 | pixel_accuracy: 0.4659 | val_loss: 2.4428
Epoch 32/1000 | train_loss: 1.1732 | miou: 0.1526 | f1_macro: 0.2338 | pixel_accuracy: 0.4717 | val_loss: 2.6736
Epoch 33/1000 | train_loss: 1.1607 | miou: 0.1455 | f1_macro: 0.2213 | pixel_accuracy: 0.4677 | val_loss: 2.6995
Epoch 34/1000 | train_loss: 1.1287 | miou: 0.1479 | f1_macro: 0.2242 | pixel_accuracy: 0.4691 | val_loss: 2.5561
Epoch 35/1000 | train_loss: 1.2141 | miou: 0.1584 | f1_macro: 0.2408 | pixel_accuracy: 0.4785 | val_loss: 2.0913
Epoch 36/1000 | train_loss: 1.1558 | miou: 0.1542 | f1_macro: 0.2379 | pixel_accuracy: 0.4658 | val_loss: 2.9481
Epoch 37/1000 | train_loss: 1.1475 | miou: 0.1526 | f1_macro: 0.2333 | pixel_accuracy: 0.4711 | val_loss: 2.8293
Epoch 38/1000 | train_loss: 1.0986 | miou: 0.1497 | f1_macro: 0.2276 | pixel_accuracy: 0.4734 | val_loss: 3.7272
Epoch 39/1000 | train_loss: 1.1876 | miou: 0.1466 | f1_macro: 0.2243 | pixel_accuracy: 0.4643 | val_loss: 3.6388
Epoch 40/1000 | train_loss: 1.1330 | miou: 0.1450 | f1_macro: 0.2257 | pixel_accuracy: 0.4415 | val_loss: 2.6320
Epoch 41/1000 | train_loss: 1.1505 | miou: 0.1506 | f1_macro: 0.2341 | pixel_accuracy: 0.4478 | val_loss: 3.3541
Epoch 42/1000 | train_loss: 1.1276 | miou: 0.1497 | f1_macro: 0.2292 | pixel_accuracy: 0.4437 | val_loss: 3.1764
Epoch 43/1000 | train_loss: 1.1039 | miou: 0.1528 | f1_macro: 0.2381 | pixel_accuracy: 0.4458 | val_loss: 2.8857
Epoch 44/1000 | train_loss: 1.0566 | miou: 0.1586 | f1_macro: 0.2439 | pixel_accuracy: 0.4541 | val_loss: 2.7919
Epoch 45/1000 | train_loss: 1.1524 | miou: 0.1548 | f1_macro: 0.2360 | pixel_accuracy: 0.4701 | val_loss: 3.2898
Epoch 46/1000 | train_loss: 1.0864 | miou: 0.1539 | f1_macro: 0.2384 | pixel_accuracy: 0.4565 | val_loss: 4.6824
Epoch 47/1000 | train_loss: 1.0827 | miou: 0.1563 | f1_macro: 0.2386 | pixel_accuracy: 0.4537 | val_loss: 3.4506
Epoch 48/1000 | train_loss: 1.0427 | miou: 0.1561 | f1_macro: 0.2402 | pixel_accuracy: 0.4575 | val_loss: 3.3939
Epoch 49/1000 | train_loss: 1.0319 | miou: 0.1564 | f1_macro: 0.2416 | pixel_accuracy: 0.4569 | val_loss: 4.1711
Epoch 50/1000 | train_loss: 1.0375 | miou: 0.1642 | f1_macro: 0.2538 | pixel_accuracy: 0.4593 | val_loss: 3.2461
Epoch 51/1000 | train_loss: 1.0876 | miou: 0.1995 | f1_macro: 0.3008 | pixel_accuracy: 0.5052 | val_loss: 3.7920
Epoch 52/1000 | train_loss: 1.1050 | miou: 0.1664 | f1_macro: 0.2593 | pixel_accuracy: 0.4597 | val_loss: 5.5969
Epoch 53/1000 | train_loss: 1.0510 | miou: 0.1697 | f1_macro: 0.2615 | pixel_accuracy: 0.4721 | val_loss: 4.3276
Epoch 54/1000 | train_loss: 1.0037 | miou: 0.1855 | f1_macro: 0.2803 | pixel_accuracy: 0.4935 | val_loss: 3.0599
Epoch 55/1000 | train_loss: 1.0118 | miou: 0.1975 | f1_macro: 0.3013 | pixel_accuracy: 0.4976 | val_loss: 5.3988
Epoch 56/1000 | train_loss: 0.9807 | miou: 0.2027 | f1_macro: 0.3027 | pixel_accuracy: 0.5195 | val_loss: 2.6720
Epoch 57/1000 | train_loss: 0.9702 | miou: 0.2133 | f1_macro: 0.3213 | pixel_accuracy: 0.5200 | val_loss: 3.6298
Epoch 58/1000 | train_loss: 0.9540 | miou: 0.2215 | f1_macro: 0.3325 | pixel_accuracy: 0.5238 | val_loss: 3.2911
Epoch 59/1000 | train_loss: 0.9155 | miou: 0.2122 | f1_macro: 0.3192 | pixel_accuracy: 0.5180 | val_loss: 3.7841
Epoch 60/1000 | train_loss: 0.8899 | miou: 0.2247 | f1_macro: 0.3357 | pixel_accuracy: 0.5306 | val_loss: 2.6532
Epoch 61/1000 | train_loss: 0.9086 | miou: 0.2285 | f1_macro: 0.3416 | pixel_accuracy: 0.5311 | val_loss: 3.3996
Epoch 62/1000 | train_loss: 0.9013 | miou: 0.2151 | f1_macro: 0.3245 | pixel_accuracy: 0.5204 | val_loss: 6.3686
Epoch 63/1000 | train_loss: 0.8964 | miou: 0.2305 | f1_macro: 0.3441 | pixel_accuracy: 0.5312 | val_loss: 3.6969
Epoch 64/1000 | train_loss: 0.9106 | miou: 0.2027 | f1_macro: 0.3034 | pixel_accuracy: 0.5229 | val_loss: 3.9919
Epoch 65/1000 | train_loss: 1.1238 | miou: 0.2275 | f1_macro: 0.3348 | pixel_accuracy: 0.5394 | val_loss: 3.4297
Epoch 66/1000 | train_loss: 1.0026 | miou: 0.1936 | f1_macro: 0.2905 | pixel_accuracy: 0.5114 | val_loss: 5.1685
Epoch 67/1000 | train_loss: 0.9503 | miou: 0.2387 | f1_macro: 0.3456 | pixel_accuracy: 0.5603 | val_loss: 2.0854
Epoch 68/1000 | train_loss: 0.9156 | miou: 0.2158 | f1_macro: 0.3211 | pixel_accuracy: 0.5332 | val_loss: 4.8590
Epoch 69/1000 | train_loss: 0.9282 | miou: 0.2151 | f1_macro: 0.3220 | pixel_accuracy: 0.5283 | val_loss: 5.6988
Epoch 70/1000 | train_loss: 0.8903 | miou: 0.2198 | f1_macro: 0.3236 | pixel_accuracy: 0.5438 | val_loss: 3.5041
Epoch 71/1000 | train_loss: 0.8768 | miou: 0.2417 | f1_macro: 0.3502 | pixel_accuracy: 0.5616 | val_loss: 2.6773
Epoch 72/1000 | train_loss: 0.8918 | miou: 0.2300 | f1_macro: 0.3418 | pixel_accuracy: 0.5433 | val_loss: 5.9849
Epoch 73/1000 | train_loss: 0.8953 | miou: 0.2358 | f1_macro: 0.3479 | pixel_accuracy: 0.5415 | val_loss: 3.1541
Epoch 74/1000 | train_loss: 0.8748 | miou: 0.2270 | f1_macro: 0.3386 | pixel_accuracy: 0.5347 | val_loss: 4.6666
Epoch 75/1000 | train_loss: 0.8715 | miou: 0.2363 | f1_macro: 0.3512 | pixel_accuracy: 0.5303 | val_loss: 4.1429
Epoch 76/1000 | train_loss: 0.8385 | miou: 0.2406 | f1_macro: 0.3576 | pixel_accuracy: 0.5411 | val_loss: 5.2472
Epoch 77/1000 | train_loss: 0.8358 | miou: 0.2359 | f1_macro: 0.3513 | pixel_accuracy: 0.5356 | val_loss: 4.0037
Epoch 78/1000 | train_loss: 0.8286 | miou: 0.2485 | f1_macro: 0.3670 | pixel_accuracy: 0.5480 | val_loss: 4.0248
Epoch 79/1000 | train_loss: 0.8259 | miou: 0.2502 | f1_macro: 0.3733 | pixel_accuracy: 0.5376 | val_loss: 5.3032
Epoch 80/1000 | train_loss: 0.7949 | miou: 0.2510 | f1_macro: 0.3739 | pixel_accuracy: 0.5354 | val_loss: 7.4718
Epoch 81/1000 | train_loss: 0.7761 | miou: 0.2571 | f1_macro: 0.3790 | pixel_accuracy: 0.5363 | val_loss: 4.4590
Epoch 82/1000 | train_loss: 0.8050 | miou: 0.2567 | f1_macro: 0.3830 | pixel_accuracy: 0.5327 | val_loss: 10.9728
Epoch 83/1000 | train_loss: 0.8165 | miou: 0.2660 | f1_macro: 0.3895 | pixel_accuracy: 0.5499 | val_loss: 2.9466
Epoch 84/1000 | train_loss: 0.7881 | miou: 0.2372 | f1_macro: 0.3552 | pixel_accuracy: 0.5274 | val_loss: 4.2171
Epoch 85/1000 | train_loss: 0.8037 | miou: 0.2593 | f1_macro: 0.3835 | pixel_accuracy: 0.5455 | val_loss: 6.6780
Epoch 86/1000 | train_loss: 0.7679 | miou: 0.2572 | f1_macro: 0.3770 | pixel_accuracy: 0.5590 | val_loss: 3.2398
Epoch 87/1000 | train_loss: 0.7766 | miou: 0.2652 | f1_macro: 0.3911 | pixel_accuracy: 0.5490 | val_loss: 4.5934
Epoch 88/1000 | train_loss: 0.8016 | miou: 0.2438 | f1_macro: 0.3641 | pixel_accuracy: 0.5303 | val_loss: 3.7818
Epoch 89/1000 | train_loss: 0.8244 | miou: 0.2761 | f1_macro: 0.4002 | pixel_accuracy: 0.5782 | val_loss: 2.2655
Epoch 90/1000 | train_loss: 0.7631 | miou: 0.2810 | f1_macro: 0.4067 | pixel_accuracy: 0.5754 | val_loss: 3.0827
Epoch 91/1000 | train_loss: 0.7170 | miou: 0.2639 | f1_macro: 0.3882 | pixel_accuracy: 0.5576 | val_loss: 5.4733
Epoch 92/1000 | train_loss: 0.7065 | miou: 0.2673 | f1_macro: 0.3955 | pixel_accuracy: 0.5481 | val_loss: 8.0005
Epoch 93/1000 | train_loss: 0.6899 | miou: 0.2759 | f1_macro: 0.4025 | pixel_accuracy: 0.5635 | val_loss: 3.7327
Epoch 94/1000 | train_loss: 0.7085 | miou: 0.2705 | f1_macro: 0.3950 | pixel_accuracy: 0.5622 | val_loss: 4.2689
Epoch 95/1000 | train_loss: 0.7145 | miou: 0.2730 | f1_macro: 0.3976 | pixel_accuracy: 0.5626 | val_loss: 3.7141
Epoch 96/1000 | train_loss: 0.7028 | miou: 0.2740 | f1_macro: 0.3983 | pixel_accuracy: 0.5794 | val_loss: 3.7043
Epoch 97/1000 | train_loss: 0.7716 | miou: 0.2635 | f1_macro: 0.3915 | pixel_accuracy: 0.5459 | val_loss: 5.5388
Epoch 98/1000 | train_loss: 0.7500 | miou: 0.2811 | f1_macro: 0.4079 | pixel_accuracy: 0.5748 | val_loss: 3.2957
