==========================================
Job ID: 3161428
Node: gput066
GPU: 0
Experiment: configs/experiment/unet_dataset116.yaml
Run Name: unet-d116
==========================================
Sun Feb 22 19:58:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:4A:00.0 Off |                    0 |
| N/A   25C    P8             33W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 98 train / 18 val (from 116 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 1.6176 | miou: 0.1574 | f1_macro: 0.2118 | pixel_accuracy: 0.4692 | val_loss: 1.5169
Epoch 2/1000 | train_loss: 1.4317 | miou: 0.2039 | f1_macro: 0.2841 | pixel_accuracy: 0.5219 | val_loss: 1.4256
Epoch 3/1000 | train_loss: 1.4073 | miou: 0.2754 | f1_macro: 0.3538 | pixel_accuracy: 0.6321 | val_loss: 1.3957
Epoch 4/1000 | train_loss: 1.3356 | miou: 0.2751 | f1_macro: 0.3540 | pixel_accuracy: 0.6379 | val_loss: 1.3291
Epoch 5/1000 | train_loss: 1.3376 | miou: 0.2809 | f1_macro: 0.3580 | pixel_accuracy: 0.6390 | val_loss: 1.2615
Epoch 6/1000 | train_loss: 1.3006 | miou: 0.2820 | f1_macro: 0.3590 | pixel_accuracy: 0.6404 | val_loss: 1.2782
Epoch 7/1000 | train_loss: 1.3031 | miou: 0.2746 | f1_macro: 0.3534 | pixel_accuracy: 0.6353 | val_loss: 1.2198
Epoch 8/1000 | train_loss: 1.2742 | miou: 0.2763 | f1_macro: 0.3552 | pixel_accuracy: 0.6386 | val_loss: 1.1963
Epoch 9/1000 | train_loss: 1.2826 | miou: 0.2774 | f1_macro: 0.3564 | pixel_accuracy: 0.6427 | val_loss: 1.2071
Epoch 10/1000 | train_loss: 1.2694 | miou: 0.2889 | f1_macro: 0.3651 | pixel_accuracy: 0.6547 | val_loss: 1.1835
Epoch 11/1000 | train_loss: 1.2495 | miou: 0.2840 | f1_macro: 0.3611 | pixel_accuracy: 0.6479 | val_loss: 1.1665
Epoch 12/1000 | train_loss: 1.2557 | miou: 0.2834 | f1_macro: 0.3611 | pixel_accuracy: 0.6494 | val_loss: 1.1707
Epoch 13/1000 | train_loss: 1.2643 | miou: 0.2817 | f1_macro: 0.3594 | pixel_accuracy: 0.6455 | val_loss: 1.1658
Epoch 14/1000 | train_loss: 1.2462 | miou: 0.2882 | f1_macro: 0.3645 | pixel_accuracy: 0.6536 | val_loss: 1.1539
Epoch 15/1000 | train_loss: 1.2870 | miou: 0.2880 | f1_macro: 0.3641 | pixel_accuracy: 0.6523 | val_loss: 1.1500
Epoch 16/1000 | train_loss: 1.2219 | miou: 0.2891 | f1_macro: 0.3653 | pixel_accuracy: 0.6551 | val_loss: 1.1552
Epoch 17/1000 | train_loss: 1.2719 | miou: 0.2887 | f1_macro: 0.3649 | pixel_accuracy: 0.6547 | val_loss: 1.1463
Epoch 18/1000 | train_loss: 1.2512 | miou: 0.2892 | f1_macro: 0.3656 | pixel_accuracy: 0.6563 | val_loss: 1.1271
