==========================================
Job ID: 3161429
Node: gput066
GPU: 0
Experiment: configs/experiment/baseline_merged.yaml
Run Name: unet-merged
==========================================
Sun Feb 22 19:58:32 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:61:00.0 Off |                    0 |
| N/A   25C    P8             31W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 110 train / 20 val (from 130 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 1.6020 | miou: 0.1381 | f1_macro: 0.1944 | pixel_accuracy: 0.4634 | val_loss: 1.4940
Epoch 2/1000 | train_loss: 1.4798 | miou: 0.2066 | f1_macro: 0.2905 | pixel_accuracy: 0.5490 | val_loss: 1.4033
Epoch 3/1000 | train_loss: 1.3740 | miou: 0.2836 | f1_macro: 0.3591 | pixel_accuracy: 0.6474 | val_loss: 1.2323
Epoch 4/1000 | train_loss: 1.3135 | miou: 0.2542 | f1_macro: 0.3351 | pixel_accuracy: 0.6111 | val_loss: 1.1960
Epoch 5/1000 | train_loss: 1.3151 | miou: 0.2714 | f1_macro: 0.3478 | pixel_accuracy: 0.6293 | val_loss: 1.1905
Epoch 6/1000 | train_loss: 1.2680 | miou: 0.2619 | f1_macro: 0.3407 | pixel_accuracy: 0.6172 | val_loss: 1.1642
Epoch 7/1000 | train_loss: 1.2294 | miou: 0.2597 | f1_macro: 0.3384 | pixel_accuracy: 0.6149 | val_loss: 1.1604
Epoch 8/1000 | train_loss: 1.2434 | miou: 0.2492 | f1_macro: 0.3296 | pixel_accuracy: 0.5980 | val_loss: 1.2274
Epoch 9/1000 | train_loss: 1.2500 | miou: 0.2494 | f1_macro: 0.3309 | pixel_accuracy: 0.6042 | val_loss: 1.2723
Epoch 10/1000 | train_loss: 1.2452 | miou: 0.2754 | f1_macro: 0.3652 | pixel_accuracy: 0.6212 | val_loss: 1.1356
Epoch 11/1000 | train_loss: 1.2463 | miou: 0.3023 | f1_macro: 0.4075 | pixel_accuracy: 0.6154 | val_loss: 1.1083
Epoch 12/1000 | train_loss: 1.2133 | miou: 0.3196 | f1_macro: 0.4283 | pixel_accuracy: 0.6353 | val_loss: 1.0723
Epoch 13/1000 | train_loss: 1.1784 | miou: 0.3223 | f1_macro: 0.4305 | pixel_accuracy: 0.6406 | val_loss: 1.0969
Epoch 14/1000 | train_loss: 1.1726 | miou: 0.3363 | f1_macro: 0.4424 | pixel_accuracy: 0.6497 | val_loss: 1.0567
Epoch 15/1000 | train_loss: 1.1973 | miou: 0.3278 | f1_macro: 0.4435 | pixel_accuracy: 0.6381 | val_loss: 1.0725
Epoch 16/1000 | train_loss: 1.1616 | miou: 0.3299 | f1_macro: 0.4469 | pixel_accuracy: 0.6310 | val_loss: 1.0548
Epoch 17/1000 | train_loss: 1.1834 | miou: 0.3448 | f1_macro: 0.4726 | pixel_accuracy: 0.6343 | val_loss: 1.0858
Epoch 18/1000 | train_loss: 1.1703 | miou: 0.3608 | f1_macro: 0.4850 | pixel_accuracy: 0.6557 | val_loss: 1.0119
Epoch 19/1000 | train_loss: 1.1492 | miou: 0.3383 | f1_macro: 0.4597 | pixel_accuracy: 0.6382 | val_loss: 1.0633
Epoch 20/1000 | train_loss: 1.1821 | miou: 0.3357 | f1_macro: 0.4539 | pixel_accuracy: 0.6330 | val_loss: 1.0573
Epoch 21/1000 | train_loss: 1.2051 | miou: 0.3586 | f1_macro: 0.4892 | pixel_accuracy: 0.6455 | val_loss: 1.0331
Epoch 22/1000 | train_loss: 1.2032 | miou: 0.3718 | f1_macro: 0.5018 | pixel_accuracy: 0.6554 | val_loss: 1.0136
Epoch 23/1000 | train_loss: 1.1449 | miou: 0.3491 | f1_macro: 0.4800 | pixel_accuracy: 0.6332 | val_loss: 1.1182
Epoch 24/1000 | train_loss: 1.1353 | miou: 0.3265 | f1_macro: 0.4453 | pixel_accuracy: 0.6196 | val_loss: 1.0760
Epoch 25/1000 | train_loss: 1.1665 | miou: 0.3680 | f1_macro: 0.4976 | pixel_accuracy: 0.6514 | val_loss: 1.0228
Epoch 26/1000 | train_loss: 1.1889 | miou: 0.3348 | f1_macro: 0.4583 | pixel_accuracy: 0.6273 | val_loss: 1.0795
Epoch 27/1000 | train_loss: 1.1717 | miou: 0.3570 | f1_macro: 0.4797 | pixel_accuracy: 0.6618 | val_loss: 1.0331
Epoch 28/1000 | train_loss: 1.1404 | miou: 0.3370 | f1_macro: 0.4558 | pixel_accuracy: 0.6429 | val_loss: 1.0648
Epoch 29/1000 | train_loss: 1.1354 | miou: 0.3740 | f1_macro: 0.5044 | pixel_accuracy: 0.6604 | val_loss: 1.0508
Epoch 30/1000 | train_loss: 1.1614 | miou: 0.3719 | f1_macro: 0.5054 | pixel_accuracy: 0.6562 | val_loss: 0.9918
Epoch 31/1000 | train_loss: 1.1365 | miou: 0.3704 | f1_macro: 0.5009 | pixel_accuracy: 0.6650 | val_loss: 1.0373
Epoch 32/1000 | train_loss: 1.1420 | miou: 0.3844 | f1_macro: 0.5146 | pixel_accuracy: 0.6767 | val_loss: 0.9909
Epoch 33/1000 | train_loss: 1.1285 | miou: 0.4017 | f1_macro: 0.5335 | pixel_accuracy: 0.6962 | val_loss: 0.9528
Epoch 34/1000 | train_loss: 1.0716 | miou: 0.3859 | f1_macro: 0.5198 | pixel_accuracy: 0.6759 | val_loss: 1.0066
Epoch 35/1000 | train_loss: 1.0957 | miou: 0.3861 | f1_macro: 0.5163 | pixel_accuracy: 0.6847 | val_loss: 0.9429
Epoch 36/1000 | train_loss: 1.0641 | miou: 0.3649 | f1_macro: 0.4718 | pixel_accuracy: 0.6996 | val_loss: 0.9786
Epoch 37/1000 | train_loss: 1.0561 | miou: 0.4093 | f1_macro: 0.5396 | pixel_accuracy: 0.7043 | val_loss: 0.9194
Epoch 38/1000 | train_loss: 1.0586 | miou: 0.3967 | f1_macro: 0.5255 | pixel_accuracy: 0.7051 | val_loss: 0.9158
Epoch 39/1000 | train_loss: 1.0886 | miou: 0.4054 | f1_macro: 0.5349 | pixel_accuracy: 0.7096 | val_loss: 0.8493
Epoch 40/1000 | train_loss: 1.0780 | miou: 0.4146 | f1_macro: 0.5377 | pixel_accuracy: 0.7348 | val_loss: 0.8399
Epoch 41/1000 | train_loss: 1.0508 | miou: 0.3777 | f1_macro: 0.4942 | pixel_accuracy: 0.6967 | val_loss: 0.8605
Epoch 42/1000 | train_loss: 1.0428 | miou: 0.4447 | f1_macro: 0.5725 | pixel_accuracy: 0.7499 | val_loss: 0.7813
Epoch 43/1000 | train_loss: 1.0657 | miou: 0.4506 | f1_macro: 0.5736 | pixel_accuracy: 0.7672 | val_loss: 0.7785
Epoch 44/1000 | train_loss: 1.0244 | miou: 0.4655 | f1_macro: 0.5921 | pixel_accuracy: 0.7673 | val_loss: 0.7331
Epoch 45/1000 | train_loss: 1.0373 | miou: 0.4213 | f1_macro: 0.5416 | pixel_accuracy: 0.7495 | val_loss: 0.8221
Epoch 46/1000 | train_loss: 1.0397 | miou: 0.4189 | f1_macro: 0.5329 | pixel_accuracy: 0.7562 | val_loss: 0.8042
Epoch 47/1000 | train_loss: 1.0369 | miou: 0.4560 | f1_macro: 0.5828 | pixel_accuracy: 0.7638 | val_loss: 0.7584
Epoch 48/1000 | train_loss: 1.0104 | miou: 0.4561 | f1_macro: 0.5773 | pixel_accuracy: 0.7751 | val_loss: 0.7287
Epoch 49/1000 | train_loss: 1.0087 | miou: 0.4518 | f1_macro: 0.5744 | pixel_accuracy: 0.7686 | val_loss: 0.7427
Epoch 50/1000 | train_loss: 0.9922 | miou: 0.4619 | f1_macro: 0.5866 | pixel_accuracy: 0.7727 | val_loss: 0.7192
Epoch 51/1000 | train_loss: 1.0015 | miou: 0.4629 | f1_macro: 0.5813 | pixel_accuracy: 0.7855 | val_loss: 0.7331
Epoch 52/1000 | train_loss: 1.0104 | miou: 0.4581 | f1_macro: 0.5842 | pixel_accuracy: 0.7693 | val_loss: 0.7901
Epoch 53/1000 | train_loss: 1.0096 | miou: 0.4795 | f1_macro: 0.6018 | pixel_accuracy: 0.7880 | val_loss: 0.6851
Epoch 54/1000 | train_loss: 0.9944 | miou: 0.4849 | f1_macro: 0.6058 | pixel_accuracy: 0.7939 | val_loss: 0.6608
Epoch 55/1000 | train_loss: 1.0138 | miou: 0.4668 | f1_macro: 0.5865 | pixel_accuracy: 0.7835 | val_loss: 0.7036
