==========================================
Job ID: 3161764
Node: gput048
GPU: 0
Experiment: configs/experiment/unet_dataset83.yaml
Run Name: unet-d83
==========================================
Sun Feb 22 21:29:07 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:81:00.0 Off |                  N/A |
| 33%   42C    P8              1W /  250W |       1MiB /  11264MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 1.6942 | miou: 0.0413 | f1_macro: 0.0662 | pixel_accuracy: 0.2471 | val_loss: 1.5704
Epoch 2/1000 | train_loss: 1.5237 | miou: 0.1266 | f1_macro: 0.1805 | pixel_accuracy: 0.4298 | val_loss: 1.6171
Epoch 3/1000 | train_loss: 1.5169 | miou: 0.2249 | f1_macro: 0.3100 | pixel_accuracy: 0.5696 | val_loss: 1.5148
Epoch 4/1000 | train_loss: 1.5389 | miou: 0.1346 | f1_macro: 0.1937 | pixel_accuracy: 0.4603 | val_loss: 1.4804
Epoch 5/1000 | train_loss: 1.5306 | miou: 0.1439 | f1_macro: 0.2082 | pixel_accuracy: 0.4716 | val_loss: 1.4618
Epoch 6/1000 | train_loss: 1.4853 | miou: 0.1663 | f1_macro: 0.2432 | pixel_accuracy: 0.4953 | val_loss: 1.4854
Epoch 7/1000 | train_loss: 1.4653 | miou: 0.2139 | f1_macro: 0.2984 | pixel_accuracy: 0.5532 | val_loss: 1.4125
Epoch 8/1000 | train_loss: 1.4433 | miou: 0.2007 | f1_macro: 0.2749 | pixel_accuracy: 0.5392 | val_loss: 1.3655
Epoch 9/1000 | train_loss: 1.4548 | miou: 0.2028 | f1_macro: 0.2823 | pixel_accuracy: 0.5414 | val_loss: 1.3917
Epoch 10/1000 | train_loss: 1.4554 | miou: 0.2549 | f1_macro: 0.3338 | pixel_accuracy: 0.6010 | val_loss: 1.3054
Epoch 11/1000 | train_loss: 1.4337 | miou: 0.2382 | f1_macro: 0.3212 | pixel_accuracy: 0.5794 | val_loss: 1.3010
