==========================================
Job ID: 3161765
Node: gput066
GPU: 0
Experiment: configs/experiment/deeplabv3_dataset83.yaml
Run Name: deeplabv3-d83
==========================================
Sun Feb 22 21:29:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:4A:00.0 Off |                    0 |
| N/A   37C    P8             35W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/1000 | train_loss: 1.3541 | miou: 0.4377 | f1_macro: 0.5444 | pixel_accuracy: 0.7542 | val_loss: 0.9037
Epoch 2/1000 | train_loss: 0.9947 | miou: 0.4408 | f1_macro: 0.5464 | pixel_accuracy: 0.7630 | val_loss: 0.8000
Epoch 3/1000 | train_loss: 0.8667 | miou: 0.5283 | f1_macro: 0.6272 | pixel_accuracy: 0.8232 | val_loss: 0.6174
Epoch 4/1000 | train_loss: 0.8176 | miou: 0.5258 | f1_macro: 0.6378 | pixel_accuracy: 0.8001 | val_loss: 0.6537
Epoch 5/1000 | train_loss: 0.7421 | miou: 0.5647 | f1_macro: 0.6626 | pixel_accuracy: 0.8519 | val_loss: 0.5232
Epoch 6/1000 | train_loss: 0.7046 | miou: 0.5795 | f1_macro: 0.7025 | pixel_accuracy: 0.8287 | val_loss: 0.5876
Epoch 7/1000 | train_loss: 0.6742 | miou: 0.6039 | f1_macro: 0.7107 | pixel_accuracy: 0.8663 | val_loss: 0.5072
Epoch 8/1000 | train_loss: 0.6344 | miou: 0.6339 | f1_macro: 0.7441 | pixel_accuracy: 0.8789 | val_loss: 0.4507
Epoch 9/1000 | train_loss: 0.6532 | miou: 0.6084 | f1_macro: 0.7172 | pixel_accuracy: 0.8675 | val_loss: 0.4728
Epoch 10/1000 | train_loss: 0.6164 | miou: 0.6235 | f1_macro: 0.7272 | pixel_accuracy: 0.8778 | val_loss: 0.4424
Epoch 11/1000 | train_loss: 0.6190 | miou: 0.6441 | f1_macro: 0.7576 | pixel_accuracy: 0.8711 | val_loss: 0.4724
Epoch 12/1000 | train_loss: 0.5922 | miou: 0.6590 | f1_macro: 0.7689 | pixel_accuracy: 0.8915 | val_loss: 0.4222
Epoch 13/1000 | train_loss: 0.5705 | miou: 0.6732 | f1_macro: 0.7865 | pixel_accuracy: 0.8827 | val_loss: 0.4384
Epoch 14/1000 | train_loss: 0.5351 | miou: 0.6989 | f1_macro: 0.8055 | pixel_accuracy: 0.9031 | val_loss: 0.3687
Epoch 15/1000 | train_loss: 0.5702 | miou: 0.6941 | f1_macro: 0.8025 | pixel_accuracy: 0.8961 | val_loss: 0.3761
Epoch 16/1000 | train_loss: 0.5585 | miou: 0.6437 | f1_macro: 0.7558 | pixel_accuracy: 0.8800 | val_loss: 0.4288
Epoch 17/1000 | train_loss: 0.5566 | miou: 0.6756 | f1_macro: 0.7861 | pixel_accuracy: 0.8924 | val_loss: 0.3986
Epoch 18/1000 | train_loss: 0.5501 | miou: 0.6789 | f1_macro: 0.7866 | pixel_accuracy: 0.8952 | val_loss: 0.3695
Epoch 19/1000 | train_loss: 0.5296 | miou: 0.7066 | f1_macro: 0.8116 | pixel_accuracy: 0.9071 | val_loss: 0.3566
Epoch 20/1000 | train_loss: 0.5194 | miou: 0.6878 | f1_macro: 0.7964 | pixel_accuracy: 0.8999 | val_loss: 0.3814
Epoch 21/1000 | train_loss: 0.4987 | miou: 0.6951 | f1_macro: 0.8035 | pixel_accuracy: 0.8977 | val_loss: 0.3710
Epoch 22/1000 | train_loss: 0.5126 | miou: 0.6828 | f1_macro: 0.7907 | pixel_accuracy: 0.8978 | val_loss: 0.3782
Epoch 23/1000 | train_loss: 0.5098 | miou: 0.7020 | f1_macro: 0.8098 | pixel_accuracy: 0.9012 | val_loss: 0.3671
Epoch 24/1000 | train_loss: 0.5279 | miou: 0.7110 | f1_macro: 0.8175 | pixel_accuracy: 0.9011 | val_loss: 0.3544
Epoch 25/1000 | train_loss: 0.5284 | miou: 0.6828 | f1_macro: 0.7937 | pixel_accuracy: 0.8945 | val_loss: 0.4080
Epoch 26/1000 | train_loss: 0.5098 | miou: 0.7163 | f1_macro: 0.8227 | pixel_accuracy: 0.9008 | val_loss: 0.3478
Epoch 27/1000 | train_loss: 0.4973 | miou: 0.7090 | f1_macro: 0.8185 | pixel_accuracy: 0.8964 | val_loss: 0.3789
Epoch 28/1000 | train_loss: 0.5027 | miou: 0.7413 | f1_macro: 0.8405 | pixel_accuracy: 0.9144 | val_loss: 0.3199
Epoch 29/1000 | train_loss: 0.4668 | miou: 0.7020 | f1_macro: 0.8106 | pixel_accuracy: 0.8982 | val_loss: 0.3640
Epoch 30/1000 | train_loss: 0.4598 | miou: 0.7399 | f1_macro: 0.8382 | pixel_accuracy: 0.9169 | val_loss: 0.3107
Epoch 31/1000 | train_loss: 0.5004 | miou: 0.6227 | f1_macro: 0.7343 | pixel_accuracy: 0.8601 | val_loss: 0.4948
Epoch 32/1000 | train_loss: 0.4932 | miou: 0.7234 | f1_macro: 0.8288 | pixel_accuracy: 0.9025 | val_loss: 0.3617
Epoch 33/1000 | train_loss: 0.4756 | miou: 0.7367 | f1_macro: 0.8361 | pixel_accuracy: 0.9149 | val_loss: 0.3070
Epoch 34/1000 | train_loss: 0.4890 | miou: 0.7355 | f1_macro: 0.8366 | pixel_accuracy: 0.9101 | val_loss: 0.3270
Epoch 35/1000 | train_loss: 0.4608 | miou: 0.7166 | f1_macro: 0.8251 | pixel_accuracy: 0.8969 | val_loss: 0.3534
Epoch 36/1000 | train_loss: 0.4677 | miou: 0.7116 | f1_macro: 0.8237 | pixel_accuracy: 0.8880 | val_loss: 0.3752
Epoch 37/1000 | train_loss: 0.4309 | miou: 0.7581 | f1_macro: 0.8524 | pixel_accuracy: 0.9231 | val_loss: 0.2787
Epoch 38/1000 | train_loss: 0.4558 | miou: 0.7390 | f1_macro: 0.8415 | pixel_accuracy: 0.9082 | val_loss: 0.3353
Epoch 39/1000 | train_loss: 0.4539 | miou: 0.7385 | f1_macro: 0.8398 | pixel_accuracy: 0.9093 | val_loss: 0.3291
