==========================================
Job ID: 3161766
Node: gput066
GPU: 0
Experiment: configs/experiment/deeplabv3plus_dataset83.yaml
Run Name: deeplabv3plus-d83
==========================================
Sun Feb 22 21:29:05 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:61:00.0 Off |                    0 |
| N/A   37C    P8             33W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: deeplabv3plus
Trainable parameters: 58,627,142
Epoch 1/1000 | train_loss: 1.4137 | miou: 0.4226 | f1_macro: 0.5457 | pixel_accuracy: 0.7352 | val_loss: 0.8517
Epoch 2/1000 | train_loss: 1.0790 | miou: 0.5091 | f1_macro: 0.6120 | pixel_accuracy: 0.8183 | val_loss: 0.7193
Epoch 3/1000 | train_loss: 0.9438 | miou: 0.5289 | f1_macro: 0.6231 | pixel_accuracy: 0.8277 | val_loss: 0.5899
Epoch 4/1000 | train_loss: 0.8925 | miou: 0.5532 | f1_macro: 0.6470 | pixel_accuracy: 0.8492 | val_loss: 0.5713
Epoch 5/1000 | train_loss: 0.8652 | miou: 0.5572 | f1_macro: 0.6511 | pixel_accuracy: 0.8540 | val_loss: 0.5915
Epoch 6/1000 | train_loss: 0.7823 | miou: 0.5801 | f1_macro: 0.6738 | pixel_accuracy: 0.8578 | val_loss: 0.5112
Epoch 7/1000 | train_loss: 0.7489 | miou: 0.5894 | f1_macro: 0.6842 | pixel_accuracy: 0.8609 | val_loss: 0.4939
Epoch 8/1000 | train_loss: 0.7257 | miou: 0.5992 | f1_macro: 0.6926 | pixel_accuracy: 0.8743 | val_loss: 0.4538
Epoch 9/1000 | train_loss: 0.7020 | miou: 0.5793 | f1_macro: 0.6816 | pixel_accuracy: 0.8576 | val_loss: 0.4969
Epoch 10/1000 | train_loss: 0.6917 | miou: 0.6222 | f1_macro: 0.7231 | pixel_accuracy: 0.8798 | val_loss: 0.4404
Epoch 11/1000 | train_loss: 0.6599 | miou: 0.6038 | f1_macro: 0.7155 | pixel_accuracy: 0.8600 | val_loss: 0.5068
Epoch 12/1000 | train_loss: 0.6417 | miou: 0.6672 | f1_macro: 0.7764 | pixel_accuracy: 0.8905 | val_loss: 0.4143
Epoch 13/1000 | train_loss: 0.6578 | miou: 0.6489 | f1_macro: 0.7626 | pixel_accuracy: 0.8772 | val_loss: 0.4340
Epoch 14/1000 | train_loss: 0.6241 | miou: 0.6561 | f1_macro: 0.7703 | pixel_accuracy: 0.8812 | val_loss: 0.4092
Epoch 15/1000 | train_loss: 0.6625 | miou: 0.6620 | f1_macro: 0.7712 | pixel_accuracy: 0.8918 | val_loss: 0.3854
Epoch 16/1000 | train_loss: 0.6069 | miou: 0.6927 | f1_macro: 0.8006 | pixel_accuracy: 0.8973 | val_loss: 0.3729
Epoch 17/1000 | train_loss: 0.5934 | miou: 0.6820 | f1_macro: 0.7907 | pixel_accuracy: 0.8970 | val_loss: 0.3683
Epoch 18/1000 | train_loss: 0.6045 | miou: 0.6879 | f1_macro: 0.7951 | pixel_accuracy: 0.8975 | val_loss: 0.3584
Epoch 19/1000 | train_loss: 0.5847 | miou: 0.6763 | f1_macro: 0.7851 | pixel_accuracy: 0.8959 | val_loss: 0.3887
