==========================================
Job ID: 3161772
Node: gput063
GPU: 0
Experiment: configs/experiment/deeplabv3_merged.yaml
Run Name: deeplabv3-merged
==========================================
Sun Feb 22 21:29:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:49:00.0 Off |                    0 |
| N/A   25C    P8             31W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 110 train / 20 val (from 130 total)
Model: deeplabv3
Trainable parameters: 39,635,014
Epoch 1/1000 | train_loss: 1.2647 | miou: 0.4655 | f1_macro: 0.5630 | pixel_accuracy: 0.7991 | val_loss: 0.7154
Epoch 2/1000 | train_loss: 0.9550 | miou: 0.5542 | f1_macro: 0.6621 | pixel_accuracy: 0.8434 | val_loss: 0.5526
Epoch 3/1000 | train_loss: 0.8456 | miou: 0.5956 | f1_macro: 0.6963 | pixel_accuracy: 0.8744 | val_loss: 0.4817
Epoch 4/1000 | train_loss: 0.7607 | miou: 0.5997 | f1_macro: 0.7112 | pixel_accuracy: 0.8674 | val_loss: 0.4426
Epoch 5/1000 | train_loss: 0.7330 | miou: 0.6587 | f1_macro: 0.7714 | pixel_accuracy: 0.8896 | val_loss: 0.4081
Epoch 6/1000 | train_loss: 0.6911 | miou: 0.6137 | f1_macro: 0.7361 | pixel_accuracy: 0.8601 | val_loss: 0.4837
Epoch 7/1000 | train_loss: 0.6690 | miou: 0.6217 | f1_macro: 0.7471 | pixel_accuracy: 0.8605 | val_loss: 0.4765
Epoch 8/1000 | train_loss: 0.6821 | miou: 0.6605 | f1_macro: 0.7760 | pixel_accuracy: 0.8828 | val_loss: 0.4424
Epoch 9/1000 | train_loss: 0.6093 | miou: 0.6519 | f1_macro: 0.7698 | pixel_accuracy: 0.8788 | val_loss: 0.4187
Epoch 10/1000 | train_loss: 0.6277 | miou: 0.6880 | f1_macro: 0.7945 | pixel_accuracy: 0.9074 | val_loss: 0.3427
Epoch 11/1000 | train_loss: 0.6042 | miou: 0.6943 | f1_macro: 0.8014 | pixel_accuracy: 0.9063 | val_loss: 0.3345
Epoch 12/1000 | train_loss: 0.5973 | miou: 0.6753 | f1_macro: 0.7923 | pixel_accuracy: 0.8850 | val_loss: 0.3699
Epoch 13/1000 | train_loss: 0.5687 | miou: 0.6940 | f1_macro: 0.8018 | pixel_accuracy: 0.9046 | val_loss: 0.3574
Epoch 14/1000 | train_loss: 0.5714 | miou: 0.6963 | f1_macro: 0.8053 | pixel_accuracy: 0.9021 | val_loss: 0.3625
Epoch 15/1000 | train_loss: 0.5784 | miou: 0.6555 | f1_macro: 0.7769 | pixel_accuracy: 0.8759 | val_loss: 0.4159
Epoch 16/1000 | train_loss: 0.5630 | miou: 0.6800 | f1_macro: 0.7914 | pixel_accuracy: 0.8975 | val_loss: 0.3689
Epoch 17/1000 | train_loss: 0.5667 | miou: 0.6738 | f1_macro: 0.7883 | pixel_accuracy: 0.8889 | val_loss: 0.3924
Epoch 18/1000 | train_loss: 0.5412 | miou: 0.7088 | f1_macro: 0.8113 | pixel_accuracy: 0.9151 | val_loss: 0.3033
Epoch 19/1000 | train_loss: 0.5540 | miou: 0.7156 | f1_macro: 0.8178 | pixel_accuracy: 0.9167 | val_loss: 0.3033
Epoch 20/1000 | train_loss: 0.6194 | miou: 0.6800 | f1_macro: 0.7950 | pixel_accuracy: 0.8880 | val_loss: 0.3884
Epoch 21/1000 | train_loss: 0.5478 | miou: 0.6889 | f1_macro: 0.7996 | pixel_accuracy: 0.8956 | val_loss: 0.3680
Epoch 22/1000 | train_loss: 0.5569 | miou: 0.7044 | f1_macro: 0.8082 | pixel_accuracy: 0.9109 | val_loss: 0.3068
Epoch 23/1000 | train_loss: 0.5286 | miou: 0.7122 | f1_macro: 0.8143 | pixel_accuracy: 0.9157 | val_loss: 0.3089
Epoch 24/1000 | train_loss: 0.5211 | miou: 0.7110 | f1_macro: 0.8142 | pixel_accuracy: 0.9134 | val_loss: 0.3078
Epoch 25/1000 | train_loss: 0.5105 | miou: 0.6842 | f1_macro: 0.7992 | pixel_accuracy: 0.8857 | val_loss: 0.3757
