==========================================
Job ID: 3161773
Node: gput063
GPU: 0
Experiment: configs/experiment/deeplabv3plus_merged.yaml
Run Name: deeplabv3plus-merged
==========================================
Sun Feb 22 21:29:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:61:00.0 Off |                    0 |
| N/A   25C    P8             31W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 110 train / 20 val (from 130 total)
Model: deeplabv3plus
Trainable parameters: 58,627,142
Epoch 1/1000 | train_loss: 1.2621 | miou: 0.5293 | f1_macro: 0.6266 | pixel_accuracy: 0.8367 | val_loss: 0.6145
Epoch 2/1000 | train_loss: 0.9279 | miou: 0.5578 | f1_macro: 0.6499 | pixel_accuracy: 0.8605 | val_loss: 0.5075
Epoch 3/1000 | train_loss: 0.7798 | miou: 0.5538 | f1_macro: 0.6580 | pixel_accuracy: 0.8456 | val_loss: 0.5323
Epoch 4/1000 | train_loss: 0.7273 | miou: 0.5684 | f1_macro: 0.6946 | pixel_accuracy: 0.8325 | val_loss: 0.5890
Epoch 5/1000 | train_loss: 0.6830 | miou: 0.6282 | f1_macro: 0.7465 | pixel_accuracy: 0.8730 | val_loss: 0.4286
Epoch 6/1000 | train_loss: 0.6977 | miou: 0.5859 | f1_macro: 0.7067 | pixel_accuracy: 0.8552 | val_loss: 0.4656
Epoch 7/1000 | train_loss: 0.6778 | miou: 0.6274 | f1_macro: 0.7359 | pixel_accuracy: 0.8882 | val_loss: 0.4053
Epoch 8/1000 | train_loss: 0.6387 | miou: 0.6470 | f1_macro: 0.7639 | pixel_accuracy: 0.8809 | val_loss: 0.3990
Epoch 9/1000 | train_loss: 0.6158 | miou: 0.6658 | f1_macro: 0.7757 | pixel_accuracy: 0.8982 | val_loss: 0.3591
Epoch 10/1000 | train_loss: 0.6174 | miou: 0.6954 | f1_macro: 0.8049 | pixel_accuracy: 0.9027 | val_loss: 0.3488
Epoch 11/1000 | train_loss: 0.5850 | miou: 0.6502 | f1_macro: 0.7693 | pixel_accuracy: 0.8745 | val_loss: 0.4077
