==========================================
Job ID: 3164866
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83.yaml
Run Name: unet-d83
==========================================
Mon Feb 23 07:36:44 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:90:00.0 Off |                    0 |
| N/A   43C    P0             57W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 1.6486 | miou: 0.1302 | f1_macro: 0.1851 | pixel_accuracy: 0.4481 | val_loss: 1.5456
Epoch 2/1000 | train_loss: 1.4975 | miou: 0.1687 | f1_macro: 0.2462 | pixel_accuracy: 0.5006 | val_loss: 1.4766
Epoch 3/1000 | train_loss: 1.4455 | miou: 0.1369 | f1_macro: 0.1976 | pixel_accuracy: 0.4634 | val_loss: 1.4744
Epoch 4/1000 | train_loss: 1.4048 | miou: 0.2176 | f1_macro: 0.3011 | pixel_accuracy: 0.5561 | val_loss: 1.3707
Epoch 5/1000 | train_loss: 1.3978 | miou: 0.2097 | f1_macro: 0.2928 | pixel_accuracy: 0.5449 | val_loss: 1.3336
Epoch 6/1000 | train_loss: 1.3342 | miou: 0.2379 | f1_macro: 0.3216 | pixel_accuracy: 0.5838 | val_loss: 1.2985
Epoch 7/1000 | train_loss: 1.3243 | miou: 0.2721 | f1_macro: 0.3523 | pixel_accuracy: 0.6419 | val_loss: 1.3355
Epoch 8/1000 | train_loss: 1.3333 | miou: 0.2621 | f1_macro: 0.3436 | pixel_accuracy: 0.6229 | val_loss: 1.2728
Epoch 9/1000 | train_loss: 1.3396 | miou: 0.2556 | f1_macro: 0.3376 | pixel_accuracy: 0.6072 | val_loss: 1.2201
Epoch 10/1000 | train_loss: 1.2994 | miou: 0.2904 | f1_macro: 0.3667 | pixel_accuracy: 0.6619 | val_loss: 1.1969
Epoch 11/1000 | train_loss: 1.2806 | miou: 0.2594 | f1_macro: 0.3414 | pixel_accuracy: 0.6181 | val_loss: 1.2135
Epoch 12/1000 | train_loss: 1.3003 | miou: 0.2719 | f1_macro: 0.3519 | pixel_accuracy: 0.6365 | val_loss: 1.1947
Epoch 13/1000 | train_loss: 1.2993 | miou: 0.2704 | f1_macro: 0.3503 | pixel_accuracy: 0.6284 | val_loss: 1.1636
Epoch 14/1000 | train_loss: 1.3224 | miou: 0.2910 | f1_macro: 0.3668 | pixel_accuracy: 0.6584 | val_loss: 1.1699
Epoch 15/1000 | train_loss: 1.2645 | miou: 0.2814 | f1_macro: 0.3594 | pixel_accuracy: 0.6462 | val_loss: 1.1640
Epoch 16/1000 | train_loss: 1.2704 | miou: 0.2666 | f1_macro: 0.3475 | pixel_accuracy: 0.6306 | val_loss: 1.1850
Epoch 17/1000 | train_loss: 1.2922 | miou: 0.2807 | f1_macro: 0.3591 | pixel_accuracy: 0.6507 | val_loss: 1.1846
Epoch 18/1000 | train_loss: 1.3149 | miou: 0.2801 | f1_macro: 0.3582 | pixel_accuracy: 0.6412 | val_loss: 1.1667
Epoch 19/1000 | train_loss: 1.2850 | miou: 0.2638 | f1_macro: 0.3452 | pixel_accuracy: 0.6268 | val_loss: 1.2107
Epoch 20/1000 | train_loss: 1.2832 | miou: 0.2600 | f1_macro: 0.3419 | pixel_accuracy: 0.6195 | val_loss: 1.2062
Epoch 21/1000 | train_loss: 1.2725 | miou: 0.2892 | f1_macro: 0.3658 | pixel_accuracy: 0.6602 | val_loss: 1.1458
Epoch 22/1000 | train_loss: 1.2778 | miou: 0.3010 | f1_macro: 0.3747 | pixel_accuracy: 0.6737 | val_loss: 1.1206
Epoch 23/1000 | train_loss: 1.3182 | miou: 0.2680 | f1_macro: 0.3487 | pixel_accuracy: 0.6319 | val_loss: 1.1791
Epoch 24/1000 | train_loss: 1.2992 | miou: 0.2900 | f1_macro: 0.3662 | pixel_accuracy: 0.6582 | val_loss: 1.1326
Epoch 25/1000 | train_loss: 1.2703 | miou: 0.2775 | f1_macro: 0.3564 | pixel_accuracy: 0.6436 | val_loss: 1.1524
Epoch 26/1000 | train_loss: 1.2938 | miou: 0.2866 | f1_macro: 0.3635 | pixel_accuracy: 0.6527 | val_loss: 1.1268
Epoch 27/1000 | train_loss: 1.2755 | miou: 0.2709 | f1_macro: 0.3511 | pixel_accuracy: 0.6355 | val_loss: 1.1528
Epoch 28/1000 | train_loss: 1.2671 | miou: 0.2802 | f1_macro: 0.3585 | pixel_accuracy: 0.6450 | val_loss: 1.1228
Epoch 29/1000 | train_loss: 1.2718 | miou: 0.2923 | f1_macro: 0.3680 | pixel_accuracy: 0.6611 | val_loss: 1.1130
Epoch 30/1000 | train_loss: 1.2889 | miou: 0.2795 | f1_macro: 0.3579 | pixel_accuracy: 0.6430 | val_loss: 1.1091
Epoch 31/1000 | train_loss: 1.2662 | miou: 0.2798 | f1_macro: 0.3586 | pixel_accuracy: 0.6436 | val_loss: 1.1132
Epoch 32/1000 | train_loss: 1.2847 | miou: 0.2665 | f1_macro: 0.3476 | pixel_accuracy: 0.6289 | val_loss: 1.1388
Epoch 33/1000 | train_loss: 1.3323 | miou: 0.3001 | f1_macro: 0.3916 | pixel_accuracy: 0.6464 | val_loss: 1.1549
Epoch 34/1000 | train_loss: 1.2730 | miou: 0.3134 | f1_macro: 0.3950 | pixel_accuracy: 0.6756 | val_loss: 1.1166
Epoch 35/1000 | train_loss: 1.2367 | miou: 0.2933 | f1_macro: 0.3801 | pixel_accuracy: 0.6496 | val_loss: 1.1292
Epoch 36/1000 | train_loss: 1.2956 | miou: 0.2845 | f1_macro: 0.3759 | pixel_accuracy: 0.6281 | val_loss: 1.1113
Epoch 37/1000 | train_loss: 1.2675 | miou: 0.3090 | f1_macro: 0.4082 | pixel_accuracy: 0.6472 | val_loss: 1.1212
Epoch 38/1000 | train_loss: 1.3030 | miou: 0.3095 | f1_macro: 0.4075 | pixel_accuracy: 0.6487 | val_loss: 1.1220
Epoch 39/1000 | train_loss: 1.2192 | miou: 0.3207 | f1_macro: 0.4217 | pixel_accuracy: 0.6574 | val_loss: 1.1134
Epoch 40/1000 | train_loss: 1.2398 | miou: 0.3329 | f1_macro: 0.4315 | pixel_accuracy: 0.6685 | val_loss: 1.1058
Epoch 41/1000 | train_loss: 1.2278 | miou: 0.2809 | f1_macro: 0.3640 | pixel_accuracy: 0.6393 | val_loss: 2.4435
Epoch 42/1000 | train_loss: 1.4082 | miou: 0.3158 | f1_macro: 0.4151 | pixel_accuracy: 0.6556 | val_loss: 1.2709
Epoch 43/1000 | train_loss: 1.3196 | miou: 0.2853 | f1_macro: 0.3624 | pixel_accuracy: 0.6520 | val_loss: 1.2087
Epoch 44/1000 | train_loss: 1.2817 | miou: 0.2683 | f1_macro: 0.3488 | pixel_accuracy: 0.6292 | val_loss: 1.1936
Epoch 45/1000 | train_loss: 1.2662 | miou: 0.2900 | f1_macro: 0.3664 | pixel_accuracy: 0.6614 | val_loss: 1.1463
Epoch 46/1000 | train_loss: 1.2651 | miou: 0.2987 | f1_macro: 0.3896 | pixel_accuracy: 0.6518 | val_loss: 1.1318
