==========================================
Job ID: 3165345
Node: gput048
GPU: 0
Experiment: configs/experiment/unet_dataset83_raw.yaml
Run Name: unet-d83-raw
==========================================
Mon Feb 23 12:40:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 2080 Ti     On  |   00000000:81:00.0 Off |                  N/A |
| 27%   22C    P8              2W /  250W |       1MiB /  11264MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 1/1000 | train_loss: 1.6461 | miou: 0.1000 | f1_macro: 0.1663 | pixel_accuracy: 0.3006 | img_miou: 0.1004 | img_f1_macro: 0.1635 | img_pixel_accuracy: 0.3006 | val_loss: 1.5703
Epoch 2/1000 | train_loss: 1.4687 | miou: 0.1242 | f1_macro: 0.2018 | pixel_accuracy: 0.3557 | img_miou: 0.1275 | img_f1_macro: 0.2026 | img_pixel_accuracy: 0.3557 | val_loss: 1.4605
Epoch 3/1000 | train_loss: 1.3090 | miou: 0.1493 | f1_macro: 0.2130 | pixel_accuracy: 0.4814 | img_miou: 0.1540 | img_f1_macro: 0.2124 | img_pixel_accuracy: 0.4814 | val_loss: 1.4566
Epoch 4/1000 | train_loss: 1.2032 | miou: 0.2128 | f1_macro: 0.3230 | pixel_accuracy: 0.4736 | img_miou: 0.2175 | img_f1_macro: 0.3162 | img_pixel_accuracy: 0.4736 | val_loss: 1.3031
Epoch 5/1000 | train_loss: 1.1419 | miou: 0.2933 | f1_macro: 0.4066 | pixel_accuracy: 0.6193 | img_miou: 0.2980 | img_f1_macro: 0.4007 | img_pixel_accuracy: 0.6193 | val_loss: 1.2063
Epoch 6/1000 | train_loss: 1.0701 | miou: 0.3189 | f1_macro: 0.4372 | pixel_accuracy: 0.6415 | img_miou: 0.3243 | img_f1_macro: 0.4284 | img_pixel_accuracy: 0.6415 | val_loss: 1.1827
Epoch 7/1000 | train_loss: 1.0694 | miou: 0.2004 | f1_macro: 0.2901 | pixel_accuracy: 0.4952 | img_miou: 0.2065 | img_f1_macro: 0.2858 | img_pixel_accuracy: 0.4952 | val_loss: 1.4867
Epoch 8/1000 | train_loss: 1.0368 | miou: 0.3071 | f1_macro: 0.4218 | pixel_accuracy: 0.6421 | img_miou: 0.3128 | img_f1_macro: 0.4185 | img_pixel_accuracy: 0.6421 | val_loss: 1.1255
Epoch 9/1000 | train_loss: 1.0488 | miou: 0.2668 | f1_macro: 0.3821 | pixel_accuracy: 0.5891 | img_miou: 0.2751 | img_f1_macro: 0.3832 | img_pixel_accuracy: 0.5891 | val_loss: 1.2289
Epoch 10/1000 | train_loss: 1.0032 | miou: 0.2800 | f1_macro: 0.3929 | pixel_accuracy: 0.6107 | img_miou: 0.2839 | img_f1_macro: 0.3903 | img_pixel_accuracy: 0.6107 | val_loss: 1.3071
Epoch 11/1000 | train_loss: 0.9711 | miou: 0.2870 | f1_macro: 0.4058 | pixel_accuracy: 0.5950 | img_miou: 0.2810 | img_f1_macro: 0.3874 | img_pixel_accuracy: 0.5950 | val_loss: 1.1628
Epoch 12/1000 | train_loss: 0.9757 | miou: 0.3069 | f1_macro: 0.4263 | pixel_accuracy: 0.6369 | img_miou: 0.3099 | img_f1_macro: 0.4222 | img_pixel_accuracy: 0.6369 | val_loss: 1.1259
Epoch 13/1000 | train_loss: 0.9754 | miou: 0.3188 | f1_macro: 0.4420 | pixel_accuracy: 0.6284 | img_miou: 0.3225 | img_f1_macro: 0.4303 | img_pixel_accuracy: 0.6284 | val_loss: 1.0557
Epoch 14/1000 | train_loss: 0.9190 | miou: 0.3167 | f1_macro: 0.4254 | pixel_accuracy: 0.6504 | img_miou: 0.3149 | img_f1_macro: 0.4094 | img_pixel_accuracy: 0.6504 | val_loss: 1.2195
Epoch 15/1000 | train_loss: 0.9282 | miou: 0.3579 | f1_macro: 0.4804 | pixel_accuracy: 0.6734 | img_miou: 0.3653 | img_f1_macro: 0.4702 | img_pixel_accuracy: 0.6734 | val_loss: 1.0485
Epoch 16/1000 | train_loss: 0.8632 | miou: 0.3742 | f1_macro: 0.4996 | pixel_accuracy: 0.6845 | img_miou: 0.3817 | img_f1_macro: 0.4882 | img_pixel_accuracy: 0.6845 | val_loss: 1.0049
Epoch 17/1000 | train_loss: 0.8677 | miou: 0.3751 | f1_macro: 0.5002 | pixel_accuracy: 0.6899 | img_miou: 0.3914 | img_f1_macro: 0.4954 | img_pixel_accuracy: 0.6899 | val_loss: 1.0135
Epoch 18/1000 | train_loss: 0.8258 | miou: 0.3844 | f1_macro: 0.5100 | pixel_accuracy: 0.6985 | img_miou: 0.3967 | img_f1_macro: 0.5053 | img_pixel_accuracy: 0.6985 | val_loss: 1.0302
Epoch 19/1000 | train_loss: 0.8288 | miou: 0.2775 | f1_macro: 0.3977 | pixel_accuracy: 0.5839 | img_miou: 0.2813 | img_f1_macro: 0.3908 | img_pixel_accuracy: 0.5839 | val_loss: 1.1284
Epoch 20/1000 | train_loss: 0.8221 | miou: 0.4272 | f1_macro: 0.5475 | pixel_accuracy: 0.7395 | img_miou: 0.4274 | img_f1_macro: 0.5334 | img_pixel_accuracy: 0.7395 | val_loss: 0.9086
Epoch 21/1000 | train_loss: 0.7793 | miou: 0.4047 | f1_macro: 0.5166 | pixel_accuracy: 0.7283 | img_miou: 0.4145 | img_f1_macro: 0.5096 | img_pixel_accuracy: 0.7283 | val_loss: 0.9471
Epoch 22/1000 | train_loss: 0.7655 | miou: 0.3993 | f1_macro: 0.5182 | pixel_accuracy: 0.7117 | img_miou: 0.4150 | img_f1_macro: 0.5137 | img_pixel_accuracy: 0.7117 | val_loss: 0.9355
Epoch 23/1000 | train_loss: 0.7075 | miou: 0.4632 | f1_macro: 0.5882 | pixel_accuracy: 0.7579 | img_miou: 0.4696 | img_f1_macro: 0.5800 | img_pixel_accuracy: 0.7579 | val_loss: 0.8504
Epoch 24/1000 | train_loss: 0.6967 | miou: 0.4531 | f1_macro: 0.5783 | pixel_accuracy: 0.7550 | img_miou: 0.4607 | img_f1_macro: 0.5720 | img_pixel_accuracy: 0.7550 | val_loss: 0.8233
Epoch 25/1000 | train_loss: 0.6732 | miou: 0.4472 | f1_macro: 0.5721 | pixel_accuracy: 0.7521 | img_miou: 0.4538 | img_f1_macro: 0.5662 | img_pixel_accuracy: 0.7521 | val_loss: 0.9253
Epoch 26/1000 | train_loss: 0.6794 | miou: 0.4686 | f1_macro: 0.5906 | pixel_accuracy: 0.7687 | img_miou: 0.4751 | img_f1_macro: 0.5821 | img_pixel_accuracy: 0.7687 | val_loss: 0.7850
Epoch 27/1000 | train_loss: 0.6454 | miou: 0.3971 | f1_macro: 0.5293 | pixel_accuracy: 0.6988 | img_miou: 0.4062 | img_f1_macro: 0.5232 | img_pixel_accuracy: 0.6988 | val_loss: 0.9240
Epoch 28/1000 | train_loss: 0.6430 | miou: 0.5023 | f1_macro: 0.6249 | pixel_accuracy: 0.7842 | img_miou: 0.5003 | img_f1_macro: 0.6129 | img_pixel_accuracy: 0.7842 | val_loss: 0.7369
Epoch 29/1000 | train_loss: 0.6088 | miou: 0.4608 | f1_macro: 0.5868 | pixel_accuracy: 0.7539 | img_miou: 0.4641 | img_f1_macro: 0.5770 | img_pixel_accuracy: 0.7539 | val_loss: 0.8647
Epoch 30/1000 | train_loss: 0.5749 | miou: 0.4783 | f1_macro: 0.6037 | pixel_accuracy: 0.7704 | img_miou: 0.4831 | img_f1_macro: 0.5967 | img_pixel_accuracy: 0.7704 | val_loss: 0.7503
Epoch 31/1000 | train_loss: 0.6008 | miou: 0.4861 | f1_macro: 0.6095 | pixel_accuracy: 0.7727 | img_miou: 0.4914 | img_f1_macro: 0.5978 | img_pixel_accuracy: 0.7727 | val_loss: 0.7533
Epoch 32/1000 | train_loss: 0.6728 | miou: 0.4929 | f1_macro: 0.6166 | pixel_accuracy: 0.7772 | img_miou: 0.5018 | img_f1_macro: 0.6110 | img_pixel_accuracy: 0.7772 | val_loss: 0.8139
Epoch 33/1000 | train_loss: 0.5766 | miou: 0.5129 | f1_macro: 0.6352 | pixel_accuracy: 0.7942 | img_miou: 0.5113 | img_f1_macro: 0.6199 | img_pixel_accuracy: 0.7942 | val_loss: 0.7066
Epoch 34/1000 | train_loss: 0.5232 | miou: 0.5079 | f1_macro: 0.6370 | pixel_accuracy: 0.7849 | img_miou: 0.5192 | img_f1_macro: 0.6312 | img_pixel_accuracy: 0.7849 | val_loss: 0.7509
Epoch 35/1000 | train_loss: 0.5467 | miou: 0.4737 | f1_macro: 0.5981 | pixel_accuracy: 0.7640 | img_miou: 0.4776 | img_f1_macro: 0.5850 | img_pixel_accuracy: 0.7640 | val_loss: 0.8291
Epoch 36/1000 | train_loss: 0.6314 | miou: 0.4964 | f1_macro: 0.6221 | pixel_accuracy: 0.7784 | img_miou: 0.4973 | img_f1_macro: 0.6071 | img_pixel_accuracy: 0.7784 | val_loss: 0.7566
Epoch 37/1000 | train_loss: 0.5453 | miou: 0.5079 | f1_macro: 0.6321 | pixel_accuracy: 0.7877 | img_miou: 0.5055 | img_f1_macro: 0.6179 | img_pixel_accuracy: 0.7877 | val_loss: 0.7603
Epoch 38/1000 | train_loss: 0.5244 | miou: 0.5394 | f1_macro: 0.6551 | pixel_accuracy: 0.8169 | img_miou: 0.5327 | img_f1_macro: 0.6408 | img_pixel_accuracy: 0.8169 | val_loss: 0.6766
Epoch 39/1000 | train_loss: 0.4715 | miou: 0.5388 | f1_macro: 0.6506 | pixel_accuracy: 0.8201 | img_miou: 0.5353 | img_f1_macro: 0.6349 | img_pixel_accuracy: 0.8201 | val_loss: 0.6383
Epoch 40/1000 | train_loss: 0.4536 | miou: 0.5460 | f1_macro: 0.6678 | pixel_accuracy: 0.8150 | img_miou: 0.5484 | img_f1_macro: 0.6578 | img_pixel_accuracy: 0.8150 | val_loss: 0.7060
Epoch 41/1000 | train_loss: 0.5029 | miou: 0.5348 | f1_macro: 0.6522 | pixel_accuracy: 0.8127 | img_miou: 0.5328 | img_f1_macro: 0.6421 | img_pixel_accuracy: 0.8127 | val_loss: 0.7044
